,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334016.32896121,84334173.15047915,84334278.05975848,84334352.28611441,84334407.08869444,84334001.76311214,84334162.48425621,84334270.35727334,84334346.87336896,84334403.48449756,84333987.91734855,84334152.05902998,84334262.55001159,84334341.096136,84334399.31314197,84333974.79595795,84334141.97648506,84334254.8091809,84334335.17812763,84334394.84001368,84333962.36914308,84334132.27743666,84334247.22585118,84334329.24807265,84334390.22341026,84333950.59352477,84334122.97138226,84334239.84712778,84334323.38112022,84334385.56032819,84333939.42176294,84334114.05162083,84334232.69523922,84334317.62100971,84334380.91117208,84333928.80707414,84334105.50327855,84334225.77807009,84334311.99252427,84334376.3137673,84333918.70526896,84334097.30767575,84334219.09518087,84334306.50876322,84334371.79163629,84333909.07555974,84334089.44473292,84334212.64134295,84334301.17552528,84334367.35905433,84333899.8807568,84334081.89429478,84334206.40865661,84334295.99401921,84334363.02422632,84333891.08716735,84334074.63684389,84334200.38783741,84334290.96257558,84334358.79133037,84333882.66435905,84334067.65386488,84334194.56900243,84334286.07774527,84334354.66185874,84333874.58487183,84334060.92800756,84334188.94215025,84334281.33501334,84334350.63551225,84333866.82392152,84334054.44313449,84334183.49745028,84334276.72926654,84334346.71080498
1,2021-07-02,84332681.8448935,84333077.75191541,84333351.79665458,84333550.22431296,84333699.16300006,84332647.16327655,84333051.13598223,84333331.96566686,84333535.97691041,84333689.51982284,84332614.31174102,84333025.19062449,84333311.9049016,84333520.79220225,84333678.37056334,84332583.28207,84333000.1627404,84333292.05434014,84333505.26102716,84333666.42822963,84332553.98687972,84332976.1464106,84333272.64560756,84333489.72202055,84333654.11744702,84332526.30885787,84332953.1578146,84333253.79638928,84333474.37168492,84333641.69771668,84332500.12354593,84332931.17340599,84333235.56020105,84333459.32335214,84333629.33001772,84332475.30980144,84332910.15006354,84333217.95380028,84333444.64029467,84333617.1146002,84332451.75433148,84332890.03597201,84333200.9728088,84333430.35504346,84333605.11330862,84332429.35332559,84332870.77655438,84333184.60085315,84333416.481014,84333593.36321372,84332408.01267567,84332852.317687,84333168.81501493,84333403.01968187,84333581.88517076,84332387.64753014,84332834.60739209,84333153.58912042,84333389.96510176,84333570.68931901,84332368.18156333,84332817.59666581,84333138.89573531,84333377.30679843,84333559.77868459,84332349.54615407,84332801.23981427,84333124.70736885,84333365.03163752,84333549.151579,84332331.67956959,84332785.49451107,84333110.99718875,84333353.12504485,84333538.80321684
2,2021-07-03,84330912.08766118,84331587.74732678,84332070.06662983,84332426.78414124,84332698.66727245,84330856.1386263,84331542.93859626,84332035.70185374,84332401.57933828,84332681.3428473,84330803.29270524,84331499.35685919,84332000.99884094,84332374.75086965,84332661.33098482,84330753.51150228,84331457.40747885,84331966.71849976,84332347.3469296,84332639.91733447,84330706.63186534,84331417.23737338,84331933.2576708,84332319.96612068,84332617.8664354,84330662.44577974,84331378.8627971,84331900.81468542,84332292.95389795,84332595.6443846,84330620.73688106,84331342.23422036,84331869.47655058,84332266.50783423,84332573.53929076,84330581.29689065,84331307.27040559,84331839.266882,84332240.73671423,84332551.72966097,84330543.93247083,84331273.87668087,84331810.17315368,84332215.69498153,84332530.32479618,84330508.46744998,84331241.95480809,84331782.16258688,84332191.4034411,84332509.3894491,84330474.74283202,84331211.4082567,84331755.19158345,84332167.86201273,84332488.95929351,84330442.61579417,84331182.1449176,84331729.2113872,84332145.05774358,84332469.05085334,84330411.95827927,84331154.07837541,84331704.17149115,84332122.96991873,84332449.66799834,84330382.65548578,84331127.12836781,84331680.02167329,84332101.57335575,84332430.80626065,84330354.60440274,84331101.2207922,84331656.71318729,84332080.84054196,84332412.45573962
3,2021-07-04,84328815.6921348,84329782.78454018,84330493.14223187,84331029.05792944,84331443.4807273,84328739.90517122,84329719.61790895,84330443.35817027,84330991.81784827,84331417.50300595,84328668.49068324,84329658.29962175,84330393.16051896,84330952.22448304,84331387.52045718,84328601.36752445,84329599.38806513,84330343.64932571,84330911.83028409,84331355.46721621,84328538.2891951,84329543.0760234,84330295.39341833,84330871.51889114,84331322.49189046,84328478.95250052,84329489.37280676,84330248.67274874,84330831.79768375,84331289.29314023,84328423.04667163,84329438.1964262,84330203.60589434,84330792.95458557,84331256.30139811,84328370.27507892,84329389.42178741,84330160.22004157,84330755.14606239,84331223.78208514,84328320.36396636,84329342.90637499,84330118.49067807,84330718.44837475,84331191.89657962,84328273.06497891,84329298.50400232,84330078.36466521,84330682.8883407,84331160.73941901,84328228.15476952,84329256.07206416,84330039.77388152,84330648.4622535,84331130.36162177,84328185.43331099,84329215.47518893,84330002.64336778,84330615.14774019,84331100.78564107,84328144.72172292,84329176.58687703,84329966.896195,84330582.9113039,84331072.01513438,84328105.86001316,84329139.29001476,84329932.45634493,84330551.71316928,84331044.04144436,84328068.7049223,84329103.47677033,84329899.25037031,84330521.5104118,84331016.84795146
4,2021-07-05,84326455.85609524,84327711.60557397,84328658.79635248,84329386.80619442,84329957.51499096,84326362.57278743,84327630.90895371,84328593.5409876,84329337.07311866,84329922.330166,84326274.8409928,84327552.7023599,84328527.8308191,84329284.25148603,84329881.75154646,84326192.53081831,84327477.68443798,84328463.10482727,84329230.41881624,84329838.40640053,84326115.31276686,84327406.08552529,84328400.10139053,84329176.75406192,84329793.85299794,84326042.7918477,84327337.90247734,84328339.17881902,84329123.9310616,84329749.03721566,84325974.56763764,84327273.01717354,84328280.48384611,84329072.3294689,84329704.54001735,84325910.26041205,84327211.25823139,84328224.04397255,84329022.15308645,84329660.71807532,84325849.5213089,84327152.43371579,84328169.81973009,84328973.4987326,84329617.78683272,84325792.03492934,84327096.34851314,84328117.73497662,84328926.39752734,84329575.8711671,84325737.51843074,84327042.8133875,84328067.69474553,84328880.84024002,84329535.03712969,84325685.71910653,84326991.64944878,84328019.59585102,84328836.79314584,84329495.31227656,84325636.411437,84326942.69007093,84327973.333186,84328794.20808491,84329456.69893424,84325589.39409037,84326895.78139855,84327928.80341516,84328753.02890372,84329419.18298621,84325544.48709491,84326850.78208756,84327885.9070744,84328713.19559821,84329382.73976238
5,2021-07-06,84323890.5359091,84325420.90724324,84326604.6287833,84327530.66230378,84328266.12502067,84323782.63199306,84325324.21755114,84326524.50096315,84327468.49145609,84328221.53997187,84323681.31046502,84325230.64359716,84326443.9089979,84327402.52028565,84328170.15507652,84323586.39202411,84325141.00693254,84326364.61637238,84327335.35048833,84328115.30821168,84323497.47041,84325055.5668275,84326287.52169514,84327268.45443363,84328058.97681436,84323414.06782576,84324974.30383894,84326213.05540967,84327202.67013127,84328002.35889912,84323335.70398763,84324897.0625521,84326141.38816164,84327138.4666237,84327946.1882244,84323261.92575213,84324823.6256541,84326072.54484193,84327076.09282632,84327890.91343577,84323192.31829265,84324753.75300264,84326006.46900743,84327015.66408476,84327836.80387698,84323126.50760622,84324687.20223281,84325943.06012873,84326957.21400853,84327784.01410595,84323064.1590515,84324623.7393828,84325882.19546318,84326900.72624719,84327732.62428594,84323004.97421618,84324563.14403714,84325823.74299479,84326846.15433061,84327682.66603525,84322948.68724024,84324505.21143986,84325767.56907326,84326793.43422523,84327634.13927355,84322895.06113522,84324449.7529436,84325713.54285601,84326742.49235068,84327587.0233637,84322843.88434522,84324396.59556614,84325661.53880055,84326693.25071654,84327541.28456636
6,2021-07-07,84321162.05115838,84322946.55641802,84324360.48316696,84325485.49488261,84326390.22491768,84321042.44003814,84322835.74191542,84324266.4703944,84325411.28330727,84326336.3029289,84320930.2687443,84322728.62757859,84324172.01028365,84325332.60022601,84326274.19549155,84320825.31215039,84322626.13937664,84324079.16807741,84325252.55597718,84326207.94895348,84320727.09721869,84322528.55782482,84323988.98956823,84325172.9063993,84326139.95788866,84320635.07550167,84322435.84512009,84323901.96978998,84325094.64701214,84326071.6704713,84320548.69926716,84322347.80944936,84323818.29901025,84325018.33164603,84326003.97137704,84320467.45377752,84322264.18999115,84323737.99720052,84324944.25108303,84325937.39949101,84320390.8691414,84322184.70155576,84323660.98986448,84324872.53687447,84325872.27649018,84320318.52263165,84322109.05798489,84323587.1517814,84324803.22344686,84325808.78521657,84320250.03668685,84322036.98410043,84323516.33261707,84324736.28612332,84325747.0187141,84320185.07513575,84321968.22138666,84323448.37201566,84324671.66482194,84325687.01158446,84320123.33888008,84321902.53022656,84323383.10846102,84324609.27902088,84325628.76039952,84320064.56162319,84321839.69025856,84323320.38438977,84324549.03728676,84325572.23718303,84320008.50590606,84321779.49973625,84323260.04902495,84324490.84335876,84325517.398416
7,2021-07-08,84318304.9441672,84320318.9281461,84321952.33635041,84323273.4149391,84324348.72590038,84318176.37002587,84320195.99765445,84321845.66962051,84323187.80193384,84324285.72433189,84318055.91356924,84320077.29337327,84321738.59215207,84323097.0974436,84324213.19979326,84317943.31027256,84319963.82753357,84321633.443124,84323004.89444396,84324135.88993175,84317838.03234048,84319855.89545575,84321531.40039949,84322913.21664062,84324056.59564215,84317739.47428101,84319753.44045886,84321433.01553737,84322823.20742443,84323977.00808021,84317647.03435616,84319656.23678903,84321338.49440435,84322735.49935892,84323898.15788832,84317560.14878546,84319563.98400036,84321247.85039975,84322650.42127462,84323820.67067945,84317478.30401887,84319476.35633548,84321160.99072573,84322568.11854613,84323744.91792122,84317401.03883033,84319393.02846937,84321077.76605225,84322488.62497695,84323671.10887209,84317327.94184467,84319313.6885418,84320997.99951728,84322411.90675268,84323599.34807153,84317258.64721923,84319238.04425593,84320921.5037551,84322337.88979268,84323529.67207237,84317192.82979688,84319165.82518077,84320848.09084596,84322266.47698781,84323462.07332833,84317130.20035173,84319096.7829958,84320777.57801622,84322197.5591481,84323396.51595135,84317070.50119859,84319030.69065453,84320709.79076119,84322131.02197061,84323332.94622041
8,2021-07-09,84315340.54125066,84317558.18576922,84319398.11441822,84320910.02713299,84322155.14850797,84315205.31911942,84317425.05906124,84319280.09011257,84320813.76716891,84322083.43538377,84315078.7271857,84317296.61810373,84319161.70432362,84320711.84957339,84322000.92446844,84314960.46957882,84317173.94536856,84319045.54121241,84320608.31880398,84321913.01868792,84314849.97613303,84317057.34623297,84318932.89553511,84320505.44821328,84321822.90934505,84314746.59764071,84316946.74594806,84318824.36773936,84320404.51819305,84321732.52045791,84314649.6911985,84316841.88831447,84318720.17590351,84320306.23352528,84321643.02201663,84314558.65578054,84316742.43795513,84318620.32589929,84320210.95723899,84321555.12194829,84314472.9447733,84316648.03365463,84318524.70706692,84320118.84635223,84321469.23853454,84314392.06786168,84316558.3160377,84318433.14719461,84320029.93293042,84321385.60543564,84314315.5881716,84316472.94147632,84318345.4445455,84319944.17359214,84321304.33733056,84314243.11752379,84316391.58850586,84318261.38660389,84319861.4802717,84321225.47182544,84314174.31117456,84316313.96015505,84318180.76098087,84319781.73957129,84321148.99668173,84314108.86268786,84316239.7840729,84318103.36162172,84319704.82502328,84321074.86775616,84314046.49921718,84316168.81150813,84318028.99217092,84319630.60487202,84321003.02094808
9,2021-07-10,84312283.55737065,84314678.99463114,84316711.24064384,84318407.22505364,84319819.91016673,84312143.5135197,84314537.41165112,84316583.13542117,84318301.12081093,84319739.9175955,84312012.4715834,84314400.90547527,84316454.72439657,84318188.84566322,84319647.92275028,84311890.11273883,84314270.6153548,84316328.80847454,84318074.86210313,84319549.96249276,84311775.83595064,84314146.85352673,84316206.7849194,84317961.6738835,84319449.5996127,84311668.9602232,84314029.52892822,84316089.29619312,84317850.6871775,84319348.97919187,84311568.8127547,84313918.35897362,84315976.56988505,84317742.67248152,84319249.40304933,84311474.76549083,84313812.97836713,84315868.60398307,84317638.02336957,84319151.6565763,84311386.24784037,84313712.99570413,84315765.2709188,84317536.9066087,84319056.20173275,84311302.74840446,84313618.0227287,84315666.37726182,84317439.35173135,84318963.29457265,84311223.81183603,84313527.68894255,84315571.69842097,84317345.30568515,84318873.05866149,84311149.0337804,84313441.6482633,84315480.99889958,84317254.6667477,84318785.53191876,84311078.05531488,84313359.58135977,84315394.04403344,84317167.30582684,84318700.69702566,84311010.5575488,84313281.19566679,84315310.60663368,84317083.07992955,84318618.50143822,84310946.25666662,84313206.22420004,84315230.47055347,84317001.84068668,84318538.87069824
