,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333887.60447569,84334069.56280495,84334191.59791039,84334278.0885935,84334342.0234633,84333870.73250456,84334057.16918622,84334182.62970679,84334271.77742013,84334337.81665976,84333854.69918466,84334045.05807303,84334173.54084997,84334265.04196711,84334332.94822232,84333839.50879547,84334033.34739257,84334164.53066365,84334258.14314693,84334327.72800162,84333825.12620024,84334022.08430685,84334155.70509578,84334251.23105332,84334322.34079807,84333811.50061496,84334011.2795926,84334147.11887842,84334244.39327122,84334316.89982742,84333798.57675038,84334000.92522591,84334138.79777303,84334237.68074574,84334311.4755762,84333786.30003558,84333991.00371306,84334130.75084434,84334231.12231337,84334306.11216636,84333774.61896686,84333981.49316467,84334122.97747375,84334224.73318711,84334300.83702087,84333763.48603314,84333972.37008962,84334115.47147684,84334218.5200702,84334295.66676813,84333752.85793428,84333963.61093058,84334108.22356963,84334212.48431815,84334290.6109517,84333742.69545649,84333955.19289048,84334101.22286563,84334206.62393509,84334285.6744166,84333732.9631921,84333947.09435314,84334094.45779055,84334200.93485475,84334280.85887498,84333723.62920092,84333939.2950703,84334087.91664019,84334195.41177247,84334276.16395028,84333714.66466258,84333931.77621487,84334081.58791636,84334190.04869023,84334271.58788309
1,2021-07-02,84332330.48756789,84332788.44160505,84333106.547024,84333337.44006552,84333511.05514836,84332290.44928482,84332757.58752762,84333083.49309039,84333320.8434294,84333499.80485211,84332252.53719012,84332727.5189574,84333060.17677481,84333303.15756468,84333486.79882772,84332216.739639,84332698.52130243,84333037.10947229,84333285.07097189,84333472.86926663,84332182.95382538,84332670.70270841,84333014.5601174,84333266.97810233,84333458.51169427,84332151.04267478,84332644.08104345,84332992.66509761,84333249.10770677,84333444.02886012,84332120.86113064,84332618.62820522,84332971.48618641,84333231.59159194,84333429.60849781,84332092.26819842,84332594.29349594,84332951.04244454,84333214.50323084,84333415.36745268,84332065.13214177,84332571.01623397,84332931.32839677,84333197.880287,84333401.37774701,84332039.33233392,84332548.73262241,84332912.32466236,84333181.73816814,84333387.68249628,84332014.75948226,84332527.37946595,84332894.00429115,84333166.07838984,84333374.30590084,84331991.31508966,84332506.8961223,84332876.33658525,84333150.89384136,84333361.25966583,84331968.91059132,84332487.22545278,84332859.2894145,84333136.17215337,84333348.54720621,84331947.4663905,84332468.31420329,84332842.83061261,84333121.89787628,84333336.16644582,84331926.91090351,84332450.11306408,84332826.92880481,84333108.05389924,84333324.11170477
2,2021-07-03,84330295.43456548,84331069.16259556,84331623.96510157,84332035.61085613,84332350.10939407,84330231.53461914,84331017.71922077,84331584.36575702,84332006.48745689,84332330.05004738,84330171.2038762,84330967.70128402,84331544.38705014,84331975.49399392,84332306.8822302,84330114.39424746,84330919.57240026,84331504.90553297,84331943.84214647,84332282.09538068,84330060.9156612,84330873.4992704,84331466.37770946,84331912.2235046,84332256.57503171,84330010.5273868,84330829.49866746,84331429.0311498,84331881.03685488,84332230.8608456,84329962.97969493,84330787.51202805,84331392.96511912,84331850.50997823,84332205.28622359,84329918.0325536,84330747.44460025,84331358.20588751,84331820.76802236,84332180.05757432,84329875.46337971,84330709.18641534,84331324.73816137,84331791.8733518,84332155.30113742,84329835.06951109,84330672.62359683,84331292.52340174,84331763.84949316,84332131.09156379,84329796.66815877,84330637.64439122,84331261.51069267,84331736.69588184,84332107.46984345,84329760.09521459,84330604.14226055,84331231.64325848,84331710.3971237,84332084.45481098,84329725.2036045,84330572.01732187,84331202.8623813,84331684.92889945,84332062.05067071,84329691.86153288,84330541.17685653,84331175.1097384,84331660.26176915,84332040.25199617,84329659.95078415,84330511.53530218,84331148.3287657,84331636.3636382,84332019.04709339
3,2021-07-04,84327882.0431658,84328984.7141858,84329798.47397575,84330414.5614041,84330892.26133259,84327795.82003613,84328912.47684531,84329741.31876776,84330371.68011156,84330862.27913156,84327714.60323283,84328842.3768698,84329683.70444606,84330326.09864493,84330827.68006761,84327638.29484731,84328775.05019546,84329626.89346017,84330279.6054127,84330790.69777413,84327566.60956143,84328710.7144064,84329571.53760302,84330233.21774562,84330752.65838826,84327499.19834577,84328649.377415,84329517.95675227,84330187.51924653,84330714.36822084,84327435.70427518,84328590.94301535,84329466.285497,84330142.84061567,84330676.32372172,84327375.78712504,84328535.2660285,84329416.55359536,84330099.36112323,84330638.83074962,84327319.13320006,84328482.18165924,84329368.73158856,84330057.1677013,84330602.0750239,84327265.4581158,84328431.52118754,84329322.75730081,84330016.29040366,84330566.1651098,84327214.5062728,84328383.12022592,84329278.55149814,84329976.72420509,84330531.15936233,84327166.04887213,84328336.82286087,84329236.02722806,84329938.44266064,84330497.08319938,84327119.88139209,84328292.4834952,84329195.09539406,84329901.40658891,84330463.94038342,84327075.82097726,84328249.96740875,84329155.66804847,84329865.56964678,84330431.7205036,84327033.70395362,84328209.15061644,84329117.66028513,84329830.88192686,84330400.40399857
4,2021-07-05,84325182.54902482,84326606.99365051,84327686.7777356,84328519.88368909,84329174.93342473,84325076.94704023,84326515.1561387,84327612.20457713,84328462.8640444,84329134.489376,84324977.66781233,84326426.18311314,84327537.13330185,84328402.3170886,84329087.853162,84324884.55739953,84326340.8661073,84327463.2076223,84328340.62581167,84329038.04673603,84324797.23681852,84326259.46340333,84327391.26954389,84328279.14161363,84328986.86195791,84324715.25394103,84326181.96779384,84327321.72638203,84328218.63610429,84328935.38598841,84324638.15138935,84326108.24162728,84327254.74365242,84328159.54332343,84328884.2861098,84324565.49597795,84326038.08707598,84327190.35075311,84328102.09561959,84328833.97157994,84324496.89008291,84325971.28333557,84327128.50074986,84328046.40271428,84328784.68923552,84324431.97446711,84325907.60635063,84327069.10501018,84327992.49908866,84328736.58180037,84324370.42715567,84325846.83907023,84327012.05359273,84327940.37306662,84328689.72440833,84324311.96061672,84325788.77648479,84326957.22734948,84327889.98499976,84328644.14799371,84324256.31835966,84325733.22776671,84326904.50510192,84327841.2787969,84328599.85454874,84324203.27148953,84325680.01681036,84326853.76784094,84327794.18930191,84328556.82722571,84324152.61546563,84325628.9819064,84326804.90110683,84327748.64703463,84328515.03710546
5,2021-07-06,84322258.6519067,84323986.98014382,84325330.56488337,84326385.88861077,84327226.72037871,84322136.98976727,84323877.40023214,84325239.37004347,84326314.88876314,84327175.66279902,84322022.79050338,84323771.38736142,84325147.67376865,84326239.5666948,84327116.82871272,84321915.84432685,84323669.86828521,84325057.4820956,84326162.89492044,84327054.04317428,84321815.68660958,84323573.13221495,84324969.8154215,84326086.55447672,84326989.57154761,84321721.7731891,84323481.15279213,84324885.16089986,84326011.50109473,84326924.78559665,84321633.5581041,84323393.75006221,84324803.71000761,84325938.2687846,84326860.52487534,84321550.52683727,84323310.67445587,84324725.48852569,84325867.14008126,84326797.30216302,84321472.20876177,84323231.65103006,84324650.42992729,84325798.24503171,84326735.42480405,84321398.17983422,84323156.40276282,84324578.41778329,84325731.62045531,84326675.06868507,84321328.06083679,84323084.66253217,84324509.31064327,84325667.24625905,84326616.32454196,84321261.5137573,84323016.17888635,84324442.95673886,84325605.06810068,84326559.22758843,84321198.23757337,84322950.71838713,84324379.20265043,84325545.01172283,84326503.77681918,84321137.96404693,84322888.06607468,84324317.89833581,84325486.99209748,84326449.94777171,84321080.45380247,84322828.0249283,84324258.89994232,84325430.9192797,84326397.70106089
6,2021-07-07,84319150.14339368,84321159.45770483,84322759.2445077,84324037.27443434,84325068.45154615,84319015.57792547,84321034.2113551,84322652.55583742,84323952.76914117,84325006.87620309,84318889.42287242,84320913.18535821,84322545.38988873,84323863.19317564,84324935.96645978,84318771.41733256,84320797.42152365,84322440.08911012,84323772.08983602,84324860.34613775,84318661.02258833,84320687.23186427,84322337.8375775,84323681.45793949,84324782.75068985,84318557.61622542,84320582.56897303,84322239.1938965,84323592.42951345,84324704.8335867,84318460.57764746,84320483.2119386,84322144.37083867,84323505.63321996,84324627.60414433,84318369.32422331,84320388.86244534,84322053.38815027,84323421.39809409,84324551.67648363,84318283.32446216,84320299.195183,84321966.15868041,84323339.87192343,84324477.4165683,84318202.10048606,84320213.8842261,84321882.53803419,84323261.09204467,84324405.03181794,84318125.22567113,84320132.61646813,84321802.35361955,84323185.0286687,84324334.6271679,84318052.32031158,84320055.09797871,84321725.42174453,84323111.61187078,84324266.24090686,84317983.04669265,84319981.05647436,84321651.55764109,84323040.74862395,84324199.86799926,84317917.1042298,84319910.24167362,84321580.58123568,84322972.33363551,84324135.47548288,84317854.22496502,84319842.42453308,84321512.32033625,84322906.25625937,84324073.01274882
7,2021-07-08,84315896.97680767,84318159.63971601,84320003.10201848,84321499.96943988,84322722.41738182,84315752.51505724,84318020.96816838,84319882.32124902,84321402.70632921,84322650.63999557,84315617.21256639,84317887.102992,84319761.10810475,84321299.68256035,84322568.0280353,84315490.76477057,84317759.18107668,84319642.10983625,84321194.98169535,84322479.98271272,84315372.57237379,84317637.53034574,84319526.65714678,84321090.90211958,84322389.69620053,84315261.94989279,84317522.08203654,84319415.37109576,84320988.74098608,84322299.09489357,84315158.21704318,84317412.57725982,84319308.48135349,84320889.21465868,84322209.35188702,84315060.7370046,84317308.67348881,84319205.99992146,84320792.69434476,84322121.17845732,84314968.93005548,84317210.00021343,84319107.81889597,84320699.34291992,84322034.99620241,84314882.27579388,84317116.18790793,84319013.76671469,84320609.19667873,84321951.04191825,84314800.31025194,84317026.88265748,84318923.64097294,84320522.21530059,84321869.43316941,84314722.62095831,84316941.7529695,84318837.22767153,84320438.31292732,84321790.2101732,84314648.84142503,84316860.49231166,84318754.31244664,84320357.37773672,84321713.36302884,84314578.64575197,84316782.81933776,84318674.68698883,84320279.28436385,84321638.84967147,84314511.74365184,84316708.47690271,84318598.1525471,84320203.9017986,84321566.60784015
8,2021-07-09,84312521.48661695,84315009.07999896,84317081.57248995,84318791.06212562,84320203.52954416,84312369.63312155,84314859.09348829,84316948.14787227,84318681.89929499,84320121.97866419,84312227.50736627,84314714.42456022,84316814.34849882,84318566.34601796,84320028.16532627,84312094.77014889,84314576.28780702,84316683.09414019,84318448.99060974,84319928.23765297,84311970.77525696,84314445.0220825,84316555.84530357,84318332.41032775,84319825.82594863,84311854.78876792,84314320.53837766,84316433.27712394,84318218.05516386,84319723.1177611,84311746.0847673,84314202.5438571,84316315.63253659,84318106.72187068,84319621.44230768,84311643.98513994,84314090.65710224,84316202.91486958,84317998.81955059,84319521.6029501,84311547.87349936,84313984.46815364,84316094.99608134,84317894.52378632,84319424.07353057,84311457.19718134,84313883.56962033,84315991.67892149,84317793.8686533,84319329.11795235,84311371.46393381,84313787.57227285,84315892.73311286,84317696.80289377,84319236.86490375,84311290.23650618,84313696.11220314,84315797.91650729,84317603.2248057,84319147.35555413,84311213.1266795,84313608.85339019,84315706.9873751,84317513.004177,84319060.57453206,84311139.78945749,84313525.48779307,84315619.711385,84317425.99617311,84318976.47032751,84311069.91772835,84313445.73415956,84315535.8653742,84317342.05014114,84318894.96887231
9,2021-07-10,84309039.51920424,84311723.77846457,84314009.47572629,84315923.81220116,84317523.49213886,84308882.24126229,84311564.3773062,84313864.82097933,84315803.6515758,84317432.66158739,84308735.10706444,84311410.7289639,84313719.85510461,84315676.52929913,84317328.2205283,84308597.75199127,84311264.1112023,84313577.73918103,84315547.50080068,84317217.02804081,84308469.49544944,84311124.87048799,84313440.04770073,84315419.40060973,84317103.13089468,84308349.5680425,84310992.89963803,84313307.50238618,84315293.81901576,84316988.9643184,84308237.2104546,84310867.87643851,84313180.35656795,84315171.62593289,84316876.00509891,84308131.7143532,84310749.38616592,84313058.6046167,84315053.2643372,84316765.14319468,84308032.43653025,84310636.98525864,84312942.09950602,84314938.92047045,84316656.90116797,84307938.80072623,84310530.23418301,84312830.62022382,84314828.62537014,84316551.56779362,84307850.29400752,84310428.71380621,84312723.91093053,84314722.31679173,84316449.28150855,84307766.46100783,84310332.0328252,84312621.70379266,84314619.87761785,84316350.08364129,84307686.89762346,84310239.83033772,84312523.7321968,84314521.1599669,84316253.95295459,84307611.24490097,84310151.7758102,84312429.73821181,84314426.00042605,84316160.82837074,84307539.18343294,84310067.5677029,84312339.47658165,84314334.22968294,84316070.62407878
