,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333965.38154204,84334131.96010773,84334243.57143386,84334322.62407199,84334381.03475769,84333949.92538434,84334120.62031995,84334235.37212577,84334316.8570236,84334377.19209957,84333935.2358431,84334109.53814754,84334227.06205127,84334310.70203875,84334372.74496342,84333921.31708434,84334098.82156733,84334218.82345015,84334304.3975121,84334367.97634801,84333908.13714305,84334088.51382187,84334210.75321583,84334298.08059709,84334363.05504513,84333895.64969012,84334078.62486112,84334202.90142615,84334291.83133976,84334358.08446966,84333883.80424,84334069.14742595,84334195.29167427,84334285.69631082,84334353.12901235,84333872.55093884,84334060.06558357,84334187.93228683,84334279.70188051,84334348.22898485,84333861.84272039,84334051.35937025,84334180.82273448,84334273.86197035,84334343.40944691,84333851.63615717,84334043.0073481,84334173.95739582,84334268.18272491,84334338.6855986,84333841.89166372,84334034.9880112,84334167.32781218,84334262.66540079,84334334.0661682,84333832.57338512,84334027.28054258,84334160.92405644,84334257.30819066,84334329.55559176,84333823.64894253,84334019.86520004,84334154.73556964,84334252.10739373,84334325.15544292,84333815.08912474,84334012.7234881,84334148.7516713,84334247.05817619,84334320.86538675,84333806.86757116,84334005.83820741,84334142.96186693,84334242.15506922,84334316.68382438
1,2021-07-02,84332545.27455822,84332964.61228748,84333255.47499476,84333466.38980564,84333624.87368418,84332508.58344874,84332936.38626106,84333234.40867281,84333451.23608191,84333614.60742906,84332473.83551028,84332908.87578018,84333213.10087465,84333435.08690068,84333602.73854774,84332441.02090243,84332882.342236,84333192.01893438,84333418.5708179,84333590.02631837,84332410.04615812,84332856.8848995,84333171.40871762,84333402.04799677,84333576.92287691,84332380.78629959,84332832.5204449,84333151.39500377,84333385.72735249,84333563.70449078,84332353.1089321,84332809.22346269,84333132.03439747,84333369.72930585,84333550.54249755,84332326.88529362,84332786.94783758,84333113.34446667,84333354.12102288,84333537.54356024,84332301.99503079,84332765.63828626,84333095.32034674,84333338.93697335,84333524.77344543,84332278.32790823,84332745.23664388,84333077.94445264,84333324.19130236,84333512.27154288,84332255.7840256,84332725.68526788,84333061.19226864,84333309.885465,84333500.05998096,84332234.27333304,84332706.92882706,84333045.03584139,84333296.01303382,84333488.14948346,84332213.71484794,84332688.91517466,84333029.4458969,84333282.56277362,84333476.5432064,84332194.0357772,84332671.5956999,84333014.39311764,84333269.52063078,84333465.2392918,84332175.17064717,84332654.92538531,84332999.84890004,84333256.87102927,84333454.23259005
2,2021-07-03,84330671.08842318,84331383.81563863,84331893.82957624,84332271.70541497,84332560.10673168,84330612.14684215,84331336.48012242,84331857.45338431,84332244.98452926,84332541.7184996,84330556.48648189,84331290.44915892,84331820.72447664,84332216.54545997,84332520.47951235,84330504.06482185,84331246.15007189,84331784.44815657,84332187.4997187,84332497.75480188,84330454.70816335,84331203.73706898,84331749.04408315,84332158.48186937,84332474.35601006,84330408.19583139,84331163.22637059,84331714.72169314,84332129.85794595,84332450.77784401,84330364.29861878,84331124.56480019,84331681.57257262,84332101.8371368,84332427.32600097,84330322.79606308,84331087.66579446,84331649.62123409,84332074.53448083,84332404.18979986,84330283.4836299,84331052.42870295,84331618.85397664,84332048.00741114,84332381.48508434,84330246.1750228,84331018.74920218,84331589.23570935,84332022.27771537,84332359.28041053,84330210.70216456,84330986.52485456,84331560.71993561,84331997.34506162,84332337.61347492,84330176.91411792,84330955.6579634,84331533.25474231,84331973.19549456,84332316.5016578,84330144.6755835,84330926.05690621,84331506.78640197,84331949.80685306,84332295.94891992,84330113.86529389,84330897.63661084,84331481.26152328,84331927.15226157,84332275.95038481,84330084.374458,84330870.31855452,84331456.62830684,84331905.20239404,84332256.49542193
3,2021-07-04,84328453.46533263,84329471.02777973,84330220.35374412,84330786.76943398,84331225.4429444,84328373.8124036,84329404.45584442,84330167.7738221,84330747.37239575,84331197.9242883,84328298.77055578,84329339.84374252,84330114.76513879,84330705.49077527,84331166.16606042,84328228.25174129,84329277.7786221,84330062.48926526,84330662.76734643,84331132.21783572,84328161.99448213,84329218.46219897,84330011.54631962,84330620.13683662,84331097.29659954,84328099.67810681,84329161.90290292,84329962.23118591,84330578.13567504,84331062.14242512,84328040.97434111,84329108.0130925,84329914.66830267,84330537.06801926,84331027.2110965,84327985.57007536,84329056.65986153,84329868.88563392,84330497.0989255,84330992.783523,84327933.17649017,84329007.6920994,84329824.85661303,84330458.30860911,84330959.03036945,84327883.5316661,84328960.95496508,84329782.52451646,84330420.72500831,84330926.05149043,84327836.40013145,84328916.29751188,84329741.8168707,84330384.3438056,84330893.90064983,84327791.57105653,84328873.57651852,84329702.65404864,84330349.14097546,84330862.60136893,84327748.8559444,84328832.65819998,84329664.95440346,84330315.08076242,84330832.15727879,84327708.08623676,84328793.41873527,84329628.63730352,84330282.12080468,84330802.55898651,84327669.11103247,84328755.74414623,84329593.62487884,84330250.21544145,84330773.7886857
4,2021-07-05,84325959.23504879,84327278.0654571,84328275.36895558,84329043.44852257,84329646.54431294,84325861.34598865,84327193.16149814,84328206.5640236,84328990.91939907,84329609.32916239,84325769.30022341,84327110.89205594,84328137.29015326,84328935.13496876,84329566.41297805,84325682.95821925,84327031.99047196,84328069.06421821,84328878.29008506,84329520.57563548,84325601.97142082,84326956.69723143,84328002.66386035,84328821.62982921,84329473.46565802,84325525.92301594,84326885.00727879,84327938.46581039,84328765.8654359,84329426.08344623,84325454.39091478,84326816.79478638,84327876.62371095,84328711.39727564,84329379.04321675,84325386.97510435,84326751.87810117,84327817.16555797,84328658.43994533,84329332.72184765,84325323.30824962,84326690.05414616,84327760.04883555,84328607.0950605,84329287.34679762,84325263.05836655,84326631.11667708,84327705.19246495,84328557.39488804,84329243.04972954,84325205.92782441,84326574.86578582,84327652.4956201,84328509.32912952,84329199.90010132,84325151.65076873,84326521.11257806,84327601.84890088,84328462.86167152,84329157.92668036,84325099.98999715,84326469.68117091,84327553.1409631,84328417.94120847,84329117.13157916,84325050.73378852,84326420.40920828,84327506.26240209,84328374.50804225,84329077.49954996,84325003.69291687,84326373.1475732,84327461.10795677,84328332.49845351,84329039.00421306
5,2021-07-06,84323253.88539654,84324857.97535515,84326101.87340921,84327077.01634358,84327852.80332755,84323140.8514725,84324756.4320992,84326017.5421081,84327011.46700205,84327805.7258774,84323034.73217757,84324658.1781137,84325932.73536004,84326941.91964073,84327751.47374165,84322935.33609518,84324564.07410577,84325849.30864948,84326871.11799298,84327693.57270008,84322842.23456183,84324474.3901392,84325768.2065791,84326800.61421618,84327634.11115642,84322754.92450777,84324389.10372233,84325689.88082746,84326731.29121116,84327574.35400318,84322672.9007326,84324308.04981048,84325614.50965169,84326663.64268671,84327515.0756443,84322595.68686394,84324230.9986122,84325542.1180034,84326597.93022126,84327456.74929707,84322522.84699172,84324157.69660099,84325472.64536217,84326534.27459186,84327399.65880284,84322453.98823115,84324087.88812764,84325405.98494326,84326472.71045692,84327343.96679747,84322388.75913958,84324021.32654855,84325342.0067112,84326413.21987188,84327289.75738667,84322326.8463934,84323957.77959873,84325280.57098663,84326355.75321,84327237.06345361,84322267.9709035,84323897.0315863,84325221.53647238,84326300.24239816,84327185.88445264,84322211.88393338,84323838.8838428,84325164.76491535,84326246.60936362,84327136.19817494,84322158.3634759,84323783.15423983,84325110.12371734,84326194.77144349,84327087.9686187
6,2021-07-07,84320377.69098814,84322245.52823246,84323729.08362122,84324911.94744581,84325864.8553907,84320252.52120157,84322129.29983188,84323630.2749603,84324833.81194948,84325807.99705517,84320135.1562296,84322016.97072968,84323531.01091743,84324750.97892876,84325742.51397023,84320025.3568395,84321909.50983638,84323433.46146198,84324666.72392493,84325672.67440721,84319922.62489013,84321807.20894442,84323338.72439615,84324582.89532161,84325601.00383392,84319826.38387278,84321710.0261509,84323247.3184513,84324500.54048504,84325529.02915162,84319736.05851196,84321617.75829223,84323159.44206078,84324420.24153745,84325457.68273915,84319651.10846412,84321530.13011126,84323075.11479029,84324342.30360115,84325387.532193,84319571.04064423,84321446.8410563,84322994.2570707,84324266.86418496,84325318.9160148,84319495.4115866,84321367.58979101,84322916.73617819,84324193.95861132,84325252.02631041,84319423.82530083,84321292.08669254,84322842.39314267,84324123.5600624,84325186.96052858,84319355.92927839,84321220.05977982,84322771.05859494,84324055.6045335,84325123.75453979,84319291.40994142,84321151.25703172,84322702.56206402,84323990.00658552,84325062.40416636,84319229.98814642,84321085.44673795,84322636.73733531,84323926.6693702,84325002.87939945,84319171.4150149,84321022.4168081,84322573.4254147,84323865.49102806,84324945.1338928
7,2021-07-08,84317367.14742777,84319472.92828982,84321184.66252841,84322571.88647921,84323702.99772441,84317232.68156214,84319344.11286505,84321072.67642915,84322481.85027224,84323636.6425062,84317106.72387546,84319219.74473839,84320960.27501798,84322386.47119613,84323560.26484442,84316988.99417163,84319100.88219577,84320849.91340569,84322289.52866226,84323478.85638407,84316878.93744,84318987.83217391,84320742.82671396,84322193.15057093,84323395.36766757,84316775.91795039,84318880.53294851,84320639.59230314,84322098.53847316,84323311.57969742,84316679.30437303,84318778.7459186,84320540.42462729,84322006.3564818,84323228.5774143,84316588.50546914,84318682.15451585,84320445.33620699,84321916.9492416,84323147.01898584,84316502.98285139,84318590.4159245,84320354.2282392,84321830.46850893,84323067.29484165,84316422.2531097,84318503.18802212,84320266.94274333,84321746.94879164,84322989.62457027,84316345.88517317,84318420.14299951,84320183.2929968,84321666.35358824,84322914.11750549,84316273.49575251,84318340.97371827,84320103.08139585,84321588.60415429,84322840.81143136,84316204.74423848,84318265.39609458,84320026.1098835,84321513.59762564,84322769.6977482,84316139.32770374,84318193.14933147,84319952.18591641,84321441.21852344,84322700.73806931,84316076.97629103,84318123.99502212,84319881.12572785,84321371.34607284,84322633.87528679
8,2021-07-09,84314244.35603361,84316561.22007477,84318487.44269846,84320073.3201646,84321381.58366692,84314102.98342621,84316421.8138673,84318363.63901985,84319972.18326049,84321306.1279732,84313970.65117233,84316287.33305903,84318239.47268534,84319865.11467333,84321219.31924929,84313847.04654282,84316158.9087562,84318117.6536081,84319756.36460976,84321126.84438136,84313731.57054062,84316036.85820873,84317999.53837416,84319648.32118273,84321032.06181365,84313623.54204918,84315921.10081007,84317885.75503786,84319542.32864413,84320936.99575932,84313522.28699856,84315811.3662401,84317776.53059441,84319439.12624244,84320842.87662305,84313427.17547897,84315707.30157012,84317671.86958477,84319339.09411766,84320750.44843183,84313337.63477352,84315608.52709211,84317571.6544934,84319242.39601558,84320660.15038325,84313253.1512689,84315514.66526632,84317475.70342305,84319149.06449623,84320572.22742476,84313173.26741825,84315425.35524738,84317383.80367783,84319059.05296357,84320486.79935868,84313097.57673958,84315340.25956942,84317295.73140927,84318972.26798752,84320403.90495667,84313025.7182861,84315259.06655705,84317211.26303665,84318888.58963057,84320323.5306161,84312957.37126037,84315181.49043384,84317130.18173987,84318807.884322,84320245.62923652,84312892.25006211,84315107.2702334,84317052.28097251,84318730.01302356,84320170.13278745
9,2021-07-10,84311024.41327403,84313525.57195784,84315651.40940955,84317428.71815892,84318911.59378871,84310878.01391177,84313377.37722705,84315517.12019055,84317317.32525937,84318827.49737301,84310741.04186271,84313234.51454501,84315382.52714717,84317199.46707137,84318730.79186188,84310613.16057083,84313098.17397106,84315250.56556071,84317079.82937054,84318627.82595791,84310493.73894474,84312968.67983367,84315122.6985263,84316961.04024307,84318522.34585217,84310382.06280161,84312845.9345298,84314999.59767985,84316844.57487023,84318416.60642281,84310277.42696193,84312729.64028363,84314881.49979825,84316731.2408346,84318311.97556296,84310179.17338723,84312619.41304716,84314768.4011243,84316621.4499711,84318209.27803072,84310086.70440327,84312514.84171811,84314660.1664713,84316515.37606378,84318108.99849021,84309999.48444884,84312415.51872738,84314556.59180115,84316413.04892749,84318011.4051458,84309917.03674509,84312321.05529325,84314457.44058752,84316314.41179731,84317916.62696813,84309838.9379684,84312231.08835757,84314362.46502982,84316219.3569343,84317824.70295978,84309764.81240779,84312145.2830013,84314271.41833766,84316127.74798036,84317735.61413006,84309694.32629609,84312063.33243623,84314184.0616754,84316039.43408845,84317649.30453515,84309627.18260953,84311984.95674428,84314100.16788374,84315954.25886098,84317565.69526805
