,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334116.7984707,84334254.01435612,84334345.56274572,84334410.21911359,84334457.89462912,84334104.03101152,84334244.69561753,84334338.84782529,84334405.50747503,84334454.76074918,84334091.89113389,84334235.58546813,84334332.04049909,84334400.47799958,84334451.13344076,84334080.3831388,84334226.77292511,84334325.29003783,84334395.32536831,84334447.24338521,84334069.48139921,84334218.29385598,84334318.6759042,84334390.16163759,84334443.22819489,84334059.14831582,84334210.15676339,84334312.23925444,84334385.05225259,84334439.17220762,84334049.342752,84334202.35598104,84334305.9995621,84334380.03533033,84334435.12795968,84334040.02400091,84334194.8786813,84334299.96379246,84334375.1324917,84334431.12836257,84334031.15358007,84334187.70869035,84334294.13164711,84334370.35518742,84334427.1938949,84334022.69594741,84334180.82859184,84334288.49864438,84334365.70851107,84334423.3369959,84334014.61868043,84334174.22088583,84334283.05796579,84334361.19355771,84334419.5648262,84334006.89239356,84334167.8686145,84334277.80157778,84334356.80891329,84334415.88104385,84333999.49053565,84334161.7556825,84334272.72091796,84334352.55161095,84334412.28696989,84333992.3891416,84334155.86700131,84334267.80731422,84334348.41775246,84334408.78236595,84333985.56657578,84334150.18853237,84334263.05223772,84334344.40291555,84334405.36595993
1,2021-07-02,84332946.22889005,84333295.6366146,84333536.60939507,84333710.64158083,84333841.02267271,84332915.55196536,84333272.19591056,84333519.1965859,84333698.15867259,84333832.58754715,84332886.4831671,84333249.33929458,84333501.57823083,84333684.85243459,84333822.8339251,84332859.01694089,84333227.28485408,84333484.14073564,84333671.24034108,84333812.385208,84332833.07752043,84333206.1161773,84333467.08774987,84333657.61910637,84333801.61272,84332808.56244159,84333185.84822181,84333450.52294864,84333644.16101989,84333790.74345349,84332785.3627061,84333166.46089318,84333434.49367419,84333630.9655485,84333779.91828072,84332763.37206328,84333147.91678044,84333419.01497686,84333618.08831522,84333769.22498345,84332742.49104962,84333130.17074004,84333404.08332083,84333605.55800797,84333758.71776259,84332722.62846042,84333113.17512727,84333389.68460605,84333593.38655719,84333748.42915215,84332703.70156729,84333096.88263607,84333375.79895422,84333581.5754188,84333738.37749982,84332685.63574292,84333081.24779795,84333362.4035993,84333570.11953217,84333728.57177433,84332668.36383057,84333066.22771887,84333349.47464176,84333559.00985315,84333719.01471551,84332651.82543004,84333051.78238186,84333336.98810884,84333548.23499386,84333709.70493175,84332635.96618615,84333037.87470354,84333324.92058523,84333537.78229202,84333700.63831508
2,2021-07-03,84331388.5279954,84331988.09540398,84332414.29250674,84332728.53327484,84332967.48757453,84331338.7695872,84331948.43557724,84332383.98245193,84332706.36026521,84332952.2774812,84331291.75295787,84331909.84960859,84332353.3664828,84332682.75446679,84332934.70556189,84331247.447003,84331872.69756727,84332323.11592019,84332658.63760854,84332915.8999502,84331205.70930304,84331837.11092015,84332293.5813563,84332634.53634736,84332896.53165811,84331166.357123,84331803.10542375,84332264.93843214,84332610.75486217,84332877.00991033,84331129.19991547,84331770.63847275,84332237.26461618,84332587.46733461,84332857.58779429,84331094.0539919,84331739.63924165,84332210.58142678,84332564.76986839,84332838.42223722,84331060.74867523,84331710.02486402,84332184.8784438,84332542.71075754,84332819.60943398,84331029.12832874,84331681.70918167,84332160.12731642,84332521.30868131,84332801.20647383,84330999.05240643,84331654.6074297,84332136.29008465,84332500.56391573,84332783.24490947,84330970.39459616,84331628.63865553,84332113.32417774,84332480.46537994,84332765.73946793,84330943.04159556,84331603.72686009,84332091.18542558,84332460.99513239,84332748.69375046,84330916.89179151,84331579.80141783,84332069.8298607,84332442.13127106,84332732.10402116,84330891.85397528,84331556.79709384,84332049.2147745,84332423.84981605,84332715.96175759
3,2021-07-04,84329534.69974843,84330397.26183775,84331027.94032186,84331502.09985942,84331867.7920378,84329466.96363232,84330341.08857314,84330983.83679503,84331469.20581327,84331844.89873962,84329403.11119251,84330286.54101066,84330939.35489161,84331434.22580579,84331818.47206901,84329343.07417575,84330234.1177244,84330895.46950103,84331398.53050955,84331790.21548477,84329286.63599658,84330183.99235384,84330852.68550384,84331362.90056644,84331761.14085683,84329233.52879333,84330136.17526393,84330811.2520705,84331327.78462806,84331731.86392826,84329183.47738308,84330090.59540638,84330771.27542609,84331293.43765609,84331702.76428004,84329136.2187512,84330047.14315435,84330732.78076296,84331259.99854057,84331674.07618293,84329091.50993949,84330005.69315507,84330695.74736966,84331227.53531367,84331645.94226296,84329049.13037741,84329966.11658233,84330660.1290623,84331196.07229406,84331618.44624887,84329008.88159072,84329928.28761432,84330625.86627452,84331165.60678484,84331591.63350435,84328970.58574153,84329892.08670814,84330592.89328231,84331136.11954468,84331565.52419546,84328934.08372529,84329857.40208085,84330561.14252698,84331107.5814513,84331540.12189542,84328899.23318347,84329824.13018693,84330530.54717809,84331079.9577849,84331515.41929446,84328865.9066023,84329792.17564335,84330501.04261424,84331053.21099679,84331491.40203618
4,2021-07-05,84327443.76220028,84328568.02150145,84329412.06896636,84330058.42900564,84330563.66827694,84327360.11132231,84328496.01083265,84329354.06502339,84330014.3598208,84330532.56810468,84327281.4106722,84328426.19942695,84329295.64070714,84329967.54353543,84330496.69441725,84327207.54885134,84328359.21337876,84329238.07564689,84329919.82025938,84330458.36799927,84327138.2347869,84328295.2610946,84329182.02751765,84329872.23489426,84330418.96571842,84327073.11793901,84328234.34246121,84329127.81642225,84329825.38525355,84330379.32371984,84327011.8422322,84328176.3544634,84329075.57440639,84329779.60868065,84330339.95591341,84326954.06959178,84328121.14623065,84329025.3274277,84329735.08675104,84330301.17811117,84326899.4891594,84328068.54824515,84328977.04176787,84329691.906216,84330263.18135267,84326847.81971267,84328018.38788068,84328930.65095174,84329650.09554769,84330226.07663321,84326798.8089242,84327970.49752204,84328886.07161942,84329609.64738406,84330189.9229288,84326752.23124976,84327924.7185879,84328843.21296653,84329570.53257567,84330154.74515186,84326707.88533035,84327880.90327425,84328801.98235762,84329532.70910163,84330120.54587027,84326665.59133998,84327838.91503346,84328762.28862429,84329496.12778312,84330087.31307198,84326625.18847959,84327798.62836565,84328724.04394573,84329460.73596133,84330055.02537179
5,2021-07-06,84325165.34874393,84326539.92842115,84327598.20691831,84328422.9831096,84329076.03227863,84325068.32587269,84326453.38981819,84327526.77048881,84328367.73313837,84329036.51423663,84324977.19158746,84326369.61345209,84327454.90045196,84328309.09270135,84328990.96133216,84324891.79023518,84326289.33780426,84327384.1697626,84328249.37287569,84328942.3301589,84324811.76131622,84326212.79832609,84327315.38127822,84328189.88244489,84328892.37278537,84324736.67918713,84326139.98079501,84327248.92078012,84328131.36708672,84328842.15120144,84324666.11523421,84326070.74892159,84327184.9424284,84328074.244849,84328792.3163167,84324599.66463153,84326004.9106227,84327123.4702973,84328018.73822156,84328743.26653187,84324536.95650378,84325942.25301512,84327064.45575704,84327964.95095593,84328695.24139999,84324477.6562778,84325882.56090268,84327007.81067137,84327912.91408007,84328648.37873934,84324421.46444798,84325825.62633312,84326953.42690788,84327862.61411773,84328602.7503955,84324368.11382382,84325771.25324446,84326901.18789214,84327814.01071599,84328558.38513379,84324317.3662751,84325719.25939442,84326850.97543822,84327767.04780793,84328515.28356266,84324269.009463,84325669.47679463,84326802.67372882,84327721.66074458,84328473.42800745,84324222.85378,84325621.75134088,84326756.17155558,84327677.78086916,84328432.7891197
6,2021-07-07,84322737.50255422,84324344.72471261,84325612.44620101,84326617.29763794,84327422.85756731,84322629.72926468,84324245.29791896,84325528.41254067,84326551.17627826,84327374.94322103,84322528.62902531,84324149.16230457,84325443.95623313,84326481.05505574,84327319.74574214,84322434.00473201,84324057.15224668,84325360.92424354,84326409.70408285,84327260.8582845,84322345.43508588,84323969.52321073,84325280.25339973,84326338.68821226,84327200.40787645,84322262.42998348,84323886.24479039,84325202.38857114,84326268.89562233,84327139.681533,84322184.49920392,84323807.14797367,84325127.50219278,84326200.82126085,84327079.4660606,84322111.18161896,84323732.00138849,84325055.61430573,84326134.72577296,84327020.24124548,84322042.05599102,84323660.55138819,84324986.66027983,84326070.7278792,84326962.29395583,84321976.74316333,84323592.54309742,84324920.52990481,84326008.85965379,84326905.7876957,84321914.90434234,84323527.7311859,84324857.09029588,84325949.10037892,84326850.80613126,84321856.23776223,84323465.88501559,84324796.19940543,84325891.39765589,84326797.38092963,84321800.4748479,84323406.79068968,84324737.71396828,84325835.68074454,84326745.50988749,84321747.37640804,84323350.25140882,84324681.49409562,84325781.86906305,84326695.16890888,84321696.72909658,84323296.08692673,84324627.40582973,84325729.87762053,84326646.32000998
7,2021-07-08,84320189.99004295,84322008.29816562,84323476.67154108,84324659.80286695,84325619.7577171,84320073.93534903,84321897.7554864,84323381.09795733,84324583.33664036,84325563.64035991,84319965.17772011,84321790.9830282,84323285.13126326,84324502.30479676,84325499.02923258,84319863.4841392,84321688.89483443,84323190.86847144,84324419.91517214,84325430.14152211,84319768.38311972,84321591.76048248,84323099.36725627,84324337.97579794,84325359.47120677,84319679.33217748,84321499.53272232,84323011.12448186,84324257.50930324,84325288.52490054,84319595.7914504,84321412.01181051,84322926.32723837,84324179.08240981,84325218.22147447,84319517.2546998,84321328.93036224,84322844.9899619,84324102.99062757,84325149.11931111,84319443.26050898,84321249.99779344,84322767.0316726,84324029.3655432,84325081.5505193,84319373.39427549,84321174.92352611,84322692.32046683,84323958.23896088,84325015.70272177,84319307.28606229,84321103.4287649,84322620.69951755,84323889.58213523,84324951.67020838,84319244.60676667,84321035.25203367,84322552.00235721,84323823.33019775,84324889.48662753,84319185.06379813,84320970.15129144,84322486.06182072,84323759.39756034,84324829.14625293,84319128.39682858,84320907.90419103,84322422.71517952,84323697.68770571,84324770.61801745,84319074.37386261,84320848.30735886,84322361.80696438,84323638.09942485,84324713.85487746
8,2021-07-09,84317542.93042712,84319549.18696675,84321207.06046483,84322564.38087194,84323678.62403232,84317420.71157508,84319429.2539134,84321101.08783075,84322478.21560876,84323614.60519685,84317306.26367286,84319313.51172629,84320994.7640415,84322386.96612215,84323540.93420932,84317199.32492785,84319202.9395293,84320890.41061771,84322294.251378,84323462.43118532,84317099.38480508,84319097.81655172,84320789.19260372,84322202.10695885,84323381.94408157,84317005.86047655,84318998.07925178,84320691.65200052,84322111.68055774,84323301.19080013,84316918.17406064,84318903.50014342,84320597.98743664,84322023.60499148,84323221.21678737,84316835.78490138,84318813.77991791,84320508.2067774,84321938.20723265,84323142.65531787,84316758.20101681,84318728.59553812,84320422.21296892,84321855.62976556,84323065.88120654,84316684.98090447,84318647.6252323,84320339.85339727,84321775.90307467,84322991.10444869,84316615.73104069,84318570.56108265,84320260.94866385,84321698.98993365,84322918.42875572,84316550.10165614,84318497.11485988,84320185.3094458,84321624.81293933,84322847.8889372,84316487.78203411,84318427.02016929,84320112.74631862,84321553.27184361,84322779.47519638,84316428.49591646,84318360.03260465,84320043.07535905,84321484.25454424,84322713.14914395,84316371.99727143,84318295.92886172,84319976.12119295,84321417.64406653,84322648.85446833
9,2021-07-10,84314811.99649677,84316982.35262688,84318816.96440355,84320342.66551468,84321609.5302167,84314685.33020228,84316854.63464947,84318701.75033824,84320247.5151477,84321537.98490775,84314566.7778544,84316731.46636823,84318586.23404716,84320146.8098274,84321455.69069955,84314456.05648601,84316613.87938075,84318472.93589877,84320044.5499602,84321368.04358017,84314352.62708028,84316502.15942653,84318363.11515461,84319942.98153557,84321278.22910936,84314255.87747832,84316396.22811525,84318257.35259424,84319843.36726576,84321188.16622522,84314165.20220986,84316295.83381127,84318155.8558132,84319746.40019561,84321099.02038059,84314080.03567773,84316200.64977817,84318058.62567057,84319652.43542549,84321011.49547447,84313999.86377333,84316110.32527955,84317965.54980278,84319561.62457015,84320926.00624272,84313924.22553763,84316024.51203059,84317876.45630658,84319473.99601161,84320842.78324656,84313852.71039942,84315942.87743597,84317791.14496882,84319389.50388145,84320761.93847057,84313784.95366186,84315865.11065046,84317709.40551364,84319308.05847278,84320683.50718668,84313720.63152304,84315790.92473218,84317631.02819142,84319229.54535227,84320607.47513899,84313659.45623085,84315720.05669537,84317555.80978386,84319153.8374544,84320533.79644299,84313601.17163055,84315652.2664738,84317483.55683948,84319080.80274373,84320462.40549625
