,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334023.11259174,84334178.59851608,84334282.60112055,84334356.179726,84334410.50078657,84334008.6695726,84334168.02388874,84334274.9655578,84334350.81438906,84334406.92834249,84333994.94037162,84334157.688083,84334267.22607188,84334345.0877271,84334402.79372151,84333981.92926951,84334147.69191983,84334259.55238368,84334339.22148994,84334398.35996762,84333969.60674681,84334138.07587512,84334252.03477553,84334333.34327894,84334393.78398229,84333957.92981307,84334128.84937578,84334244.71994835,84334327.52758667,84334389.16190736,84333946.85154685,84334120.00578843,84334237.6299426,84334321.81777167,84334384.55361605,84333936.32557546,84334111.53037599,84334230.77257928,84334316.2384026,84334379.99660164,84333926.30809572,84334103.404627,84334224.1474272,84334310.8024666,84334375.51418069,84333916.75867529,84334095.60864122,84334217.74930725,84334305.51571403,84334371.12050416,84333907.64044763,84334088.1224423,84334211.57039204,84334300.37934539,84334366.82370605,84333898.92001207,84334080.92668545,84334205.60148104,84334295.39170791,84334362.627929,84333890.56719959,84334074.00301869,84334199.83278003,84334290.54938461,84334358.53465338,84333882.5547874,84334067.33424458,84334194.25437701,84334285.84790178,84334354.5435838,84333874.85820512,84334060.90436748,84334188.85652901,84334281.28219245,84334350.6532485
1,2021-07-02,84332698.87612562,84333091.75904337,84333363.66071534,84333560.51155823,84333708.25299916,84332664.45494029,84333065.34879951,84333343.98595433,84333546.37792867,84333698.68760179,84332631.8494936,84333039.60358448,84333324.08301419,84333531.314361,84333687.62820935,84332601.05172694,84333014.76842456,84333304.38841435,84333515.9069651,84333675.78206317,84332571.97499895,84332990.93671437,84333285.13197017,84333500.49167319,84333663.57035768,84332544.50295168,84332968.12454812,84333266.43045896,84333485.26342544,84333651.25050099,84332518.51212262,84332946.30859745,84333248.33699454,84333470.33465822,84333638.98217714,84332493.88233002,84332925.44610614,84333230.86822112,84333455.76814912,84333626.86483258,84332470.50117381,84332905.48568688,84333214.01981227,84333441.59617965,84333614.95981883,84332448.26565804,84332886.37320808,84333197.77553895,84333427.83206803,84333603.3039135,84332427.08241022,84332868.05498463,84333182.11267707,84333414.47728711,84333591.91780953,84332406.86724,84332850.47945774,84333167.00527117,84333401.52594735,84333580.81156993,84332387.54441494,84332833.59801707,84333152.42611362,84333388.96766457,84333569.98820156,84332369.04584596,84332817.36533453,84333138.34793955,84333376.789416,84333559.4460343,84332351.31027791,84332801.7394217,84333124.74413614,84333364.9767498,84333549.18032569
2,2021-07-03,84330942.7298919,84331613.41123691,84332092.0816266,84332446.04952218,84332715.80796044,84330887.186702,84331568.93766072,84332057.97948498,84332421.04039712,84332698.61963357,84330834.72317861,84331525.6812667,84332023.54129605,84332394.41998114,84332678.7648581,84330785.30136326,84331484.04445323,84331989.52216291,84332367.22831097,84332657.51915187,84330738.75942717,84331444.17311423,84331956.31592324,84332340.0593449,84332635.64103647,84330694.89098261,84331406.08345391,84331924.11942971,84332313.25587048,84332613.59294786,84330653.4813325,84331369.72637746,84331893.01906222,84332287.01394612,84332591.66073874,84330614.32378955,84331335.02131115,84331863.03829196,84332261.44153306,84332570.02152453,84330577.22648469,84331301.8743395,84331834.1647214,84332236.59267296,84332548.78375967,84330542.01457852,84331270.18800054,84331806.36585148,84332212.48802888,84332528.01170062,84330508.530273,84331239.86652087,84331779.59844303,84332189.1275393,84332507.740753,84330476.63181831,84331210.81851019,84331753.81413506,84332166.49836832,84332487.98732233,84330446.19211666,84331182.95822488,84331728.96282622,84332144.57997642,84332468.7552586,84330417.09722464,84331156.20602453,84331704.99469553,84332123.34738982,84332450.04013872,84330389.24489959,84331130.48837924,84331681.8613841,84332102.77332102,84332431.83214867
3,2021-07-04,84328861.54766451,84329821.83787154,84330527.04427919,84331058.98668423,84331470.28571312,84328786.28470957,84329759.12338103,84330477.62563445,84331022.02510431,84331444.50505948,84328715.36270227,84329698.2430514,84330427.79580551,84330982.72745651,84331414.74974777,84328648.70128442,84329639.75137827,84330378.64678454,84330942.63454947,84331382.93918705,84328586.05585903,84329583.83988214,84330330.7432744,84330902.62342109,84331350.21325259,84328527.12549403,84329530.51791671,84330284.36323318,84330863.19768175,84331317.26530647,84328471.60170607,84329479.70417838,84330239.62442973,84330824.64313532,84331284.52252933,84328419.19002871,84329431.27455375,84330196.55390921,84330787.11511323,84331252.24834761,84328369.61869013,84329385.08762076,84330155.12739192,84330750.68934079,84331220.60293671,84328322.64112723,84329340.99830134,84330115.29217619,84330715.39246848,84331189.6801386,84328278.03559837,84329298.86506374,84330076.98068163,84330681.2208475,84331159.53060569,84328235.6035095,84329258.55354984,84330040.11853518,84330648.15229946,84331130.1766406,84328195.16725838,84329219.93820319,84330004.62940364,84330616.15360235,84331101.62189126,84328156.56799306,84329182.90278028,84329970.4378538,84330585.18529995,84331073.8577827,84328119.66347289,84329147.34024821,84329937.47100094,84330555.20480792,84331046.86783656
4,2021-07-05,84326519.22076742,84327766.29294349,84328706.73785996,84329429.44276656,84329995.91914327,84326426.57492307,84327686.16548985,84328641.95422441,84329380.07613705,84329960.99747688,84326339.44128428,84327608.50937362,84328576.71827187,84329327.64319602,84329920.72206463,84326257.69109489,84327534.01844397,84328512.45860784,84329274.20611508,84329877.70045087,84326180.99732508,84327462.92155555,84328449.90834007,84329220.93517074,84329833.4792256,84326108.96786274,84327395.21571954,84328389.42326854,84329168.49927206,84329788.99719504,84326041.20516787,84327330.78376697,84328331.14914635,84329117.27532144,84329744.83099702,84325977.33223017,84327269.45562646,84328275.1133507,84329067.4656687,84329701.33466339,84325917.0026684,84327211.04080376,84328221.27676648,84329019.16646653,84329658.7220561,84325859.9033176,84327155.34563504,84328169.56386203,84328972.40865028,84329617.11714931,84325805.753332,84327102.18228109,84328119.88040957,84328927.18309796,84329576.58552969,84325754.30178401,84327051.37316573,84328072.12401481,84328883.45636979,84329537.15457481,84325705.32473771,84327002.75288205,84328026.19036983,84328841.18069336,84329498.82661927,84325658.62227206,84326956.16869684,84327981.97692034,84328800.30035773,84329461.58767529,84325614.01567389,84326911.4802941,84327939.38495062,84328760.75582643,84329425.41327822
5,2021-07-06,84323972.30143052,84325492.35628101,84326667.84552811,84327587.28017287,84328317.40122801,84323865.11874788,84325396.33338812,84326588.28451735,84327525.558103,84328273.14325623,84323764.47295117,84325303.40342231,84326508.26165274,84327460.06248368,84328222.13493289,84323670.18621652,84325214.38242844,84326429.527982,84327393.37618053,84328167.68955158,84323581.855239,84325129.52805908,84326352.97584298,84327326.96095055,84328111.77001095,84323499.00561416,84325048.82116447,84326279.03273566,84327261.64880188,84328055.56554312,84323421.16043071,84324972.10754246,84326207.86819981,84327197.90545198,84327999.80455051,84323347.86970538,84324899.1714999,84326139.50704446,84327135.97808349,84327944.93242434,84323278.72149053,84324829.77465323,84326073.89331043,84327075.98127162,84327891.21657321,84323213.34436904,84324763.67639546,84326010.92725395,84327017.94844115,84327838.81046224,84323151.40600601,84324700.64445086,84325950.48706554,84326961.86341228,84327787.79370609,84323092.61004046,84324640.45998485,84325892.4417193,84326907.68009748,84327738.19772798,84323036.69243553,84324582.91970463,84325836.65855882,84326855.33496729,84327690.02248198,84322983.41782457,84324527.83630665,84325783.0077088,84326804.7550095,84327643.24751307,84322932.57609656,84324475.03803764,84325731.36455075,84326755.8628292,84327597.83935718
6,2021-07-07,84321263.3098915,84323035.99768183,84324440.2706779,84325557.40817901,84326455.67849816,84321144.48816352,84322925.93561171,84324346.9122488,84325483.72381307,84326402.14604527,84321033.05566898,84322819.54716268,84324253.108467,84325405.5989253,84326340.48679975,84320928.78904863,84322717.75219245,84324160.91024704,84325326.12170067,84326274.71776101,84320831.21862784,84322620.8294981,84324071.35620348,84325247.03552492,84326207.21616699,84320739.79977787,84322528.74170674,84323984.93804234,84325169.32890397,84326139.41973925,84320653.98854329,84322441.29846032,84323901.84482385,84325093.55180734,84326072.20679666,84320573.2737142,84322358.24083912,84323822.09648874,84325019.99302849,84326006.11237767,84320497.1886057,84322279.28570037,84323745.61915614,84324948.78325881,84325941.45588623,84320425.31336541,84322204.14892153,84323672.28856191,84324879.95674941,84325878.41889435,84320357.2729924,84322132.55727054,84323601.95549205,84324813.48906147,84325817.09382254,84320292.73358962,84322064.25405186,84323534.46077052,84324749.32059589,84325757.51506792,84320231.39807788,84321999.00132968,84323469.6440602,84324687.37145251,84325699.67926867,84320173.0019548,84321936.58028403,84323407.34894137,84324627.55089124,84325643.55868834,84320117.30935845,84321876.79057635,84323347.42572689,84324569.76337346,84325589.11015616
7,2021-07-08,84318425.86704372,84320426.82569386,84322049.33817363,84323361.3738043,84324429.16722034,84318298.12300463,84320304.71145676,84321943.39780514,84323276.35638295,84324366.61178444,84318178.44266574,84320186.79381996,84321837.04821739,84323186.28198156,84324294.60024159,84318066.56350838,84320074.07848828,84321732.61271574,84323094.71851568,84324217.83655062,84317961.96140003,84319966.85902679,84321631.26125936,84323003.67563932,84324139.10172877,84317864.03496847,84319865.07932152,84321533.54178642,84322914.28885928,84324060.07496852,84317772.18653156,84319768.51528482,84321439.65889548,84322827.18642615,84323981.7796563,84317685.85608658,84319676.86860874,84321349.62601812,84322742.69497421,84323904.83703148,84317604.53351009,84319589.81581949,84321263.35109864,84322660.95895469,84323829.61599293,84317527.76064329,84319507.03385314,84321180.6859204,84322582.01201732,84323756.32437895,84317455.12883916,84319428.21300453,84321101.45490932,84322505.82065652,84323685.06604765,84317386.27467549,84319353.06298797,84321025.47204755,84322432.31137256,84323615.87734765,84317320.87514192,84319281.31522681,84320952.55075678,84322361.38778982,84323548.75083613,84317258.6429184,84319212.72309835,84320882.50956088,84322292.94152884,84323483.65092435,84317199.32201488,84319147.06110463,84320815.17518874,84322226.85912655,84323420.52431229
8,2021-07-09,84315481.26789437,84317684.91507903,84319512.8645758,84321014.66781768,84322251.27704734,84315346.89864032,84317552.65159966,84319395.62542172,84320919.06257847,84322180.06090501,84315221.10353278,84317425.04185079,84319278.02578929,84320817.83715469,84322098.12113887,84315103.58887497,84317303.16149431,84319162.63271219,84320715.00842394,84322010.8230711,84314993.78836052,84317187.31414671,84319050.73246373,84320612.8343085,84321921.33583942,84314891.05709332,84317077.4257466,84318942.92164715,84320512.58657259,84321831.57014397,84314794.75640078,84316973.24193354,84318839.41703784,84320414.96530499,84321742.68791708,84314704.28918953,84316874.42965657,84318740.22460462,84320320.33116983,84321655.39224645,84314619.11240765,84316780.63017005,84318645.23454507,84320228.84021732,84321570.09858732,84314538.7389244,84316691.48653558,84318554.27589886,84320140.52438715,84321487.03905275,84314462.73469521,84316606.65744217,84318467.14836276,84320055.34067635,84321406.32759559,84314390.71404904,84316525.82358366,84318383.64091341,84319973.20169233,84321328.00162494,84314322.33446515,84316448.68997602,84318303.54264218,84319893.99487394,84321252.04904516,84314257.29147974,84316374.98608567,84318226.64892268,84319817.5946711,84321178.42607121,84314195.31399933,84316304.46481712,84318152.76475483,84319743.87027451,84321107.06909359
9,2021-07-10,84312444.75005311,84314825.30998273,84316844.5623527,84318529.4153434,84319932.61845535,84312305.57963952,84314684.63137652,84316717.29521552,84318424.02045427,84319853.1708187,84312175.35349451,84314548.99555291,84316589.72284672,84318312.49481647,84319761.80194534,84312053.75507182,84314419.53469302,84316464.62789515,84318199.27101581,84319664.50739737,84311940.18733053,84314296.55925559,84316343.39862011,84318086.83610304,84319564.82564175,84311833.97372448,84314179.97895865,84316226.67343597,84317976.58693883,84319464.88716638,84311734.44581178,84314069.51319553,84316114.67859563,84317869.28897686,84319365.98497856,84311640.97958687,84313964.79915178,84316007.4122402,84317765.33327189,84319268.8991934,84311553.00812303,84313865.44804722,84315904.74776019,84317664.88558328,84319174.0887041,84311470.023296,84313771.0742097,84315806.49309902,84317567.97534464,84319081.80789983,84311391.57266717,84313681.30959374,84315712.4252283,84317474.5499471,84318992.17957996,84311317.25445905,84313595.8103993,84315622.31027217,84317384.50842704,84318905.24147555,84311246.71203235,84313514.25939445,84315535.91517006,84317297.72262467,84318820.9764494,84311179.62852158,84313436.36593245,84315453.01427782,84317214.05056365,84318739.3323728,84311115.72191079,84313361.86477558,84315373.3929125,84317133.34491974,84318660.23534603
