,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333901.0925701,84334080.21965879,84334200.38449593,84334285.56373525,84334348.53674477,84333884.48567645,84334068.01727179,84334191.55294661,84334279.3478595,84334344.39303127,84333868.70465574,84334056.09326017,84334182.60271075,84334272.71417984,84334339.59764148,84333853.75365835,84334044.56370993,84334173.7300728,84334265.91967556,84334334.45578839,84333839.598044,84334033.47503044,84334165.03935768,84334259.11217365,84334329.14950447,84333826.18777874,84334022.83780779,84334156.5844523,84334252.3779327,84334323.79030769,84333813.46840188,84334012.6441196,84334148.39071396,84334245.76712313,84334318.44762564,84333801.38616629,84334002.87672241,84334140.46705806,84334239.30814001,84334313.16491579,84333789.89034961,84333993.51404743,84334132.81286514,84334233.01596065,84334307.96918654,84333778.93416397,84333984.53295116,84334125.42203571,84334226.8971813,84334302.87681356,84333768.47497022,84333975.91022705,84334118.28541897,84334220.95313174,84334297.89719392,84333758.47415449,84333967.62341884,84334111.39228702,84334215.18184134,84334293.03509684,84333748.89685187,84333959.65123448,84334104.73123549,84334209.57930088,84334288.2922058,84333739.71161261,84333951.97373007,84334098.29073286,84334204.14028186,84334283.66814716,84333730.89005953,84333944.57236208,84334092.05945121,84334198.85887326,84334279.1611854
1,2021-07-02,84332375.03036685,84332824.2912903,84333136.45689699,84333363.09153014,84333533.53476262,84332335.76341422,84332794.02014725,84333113.83223511,84333346.80051942,84333522.48985758,84332298.58276246,84332764.52039328,84333090.95052558,84333329.44059838,84333509.7214165,84332263.47680874,84332736.07196763,84333068.31362985,84333311.68761136,84333496.04647365,84332230.3445671,84332708.78088766,84333046.18544093,84333293.9287426,84333481.95152083,84332199.05146831,84332682.66460237,84333024.69976476,84333276.38851422,84333467.73377971,84332169.45513815,84332657.69546701,84333003.91718163,84333259.19628385,84333453.57754844,84332141.41720605,84332633.82367755,84332983.85635668,84333242.42414778,84333439.59752718,84332114.80839784,84332610.98964368,84332964.5118795,84333226.10905255,84333425.86440976,84332089.51034845,84332589.13072672,84332945.86469714,84333210.26610003,84333412.42051055,84332065.41581966,84332568.18488528,84332927.88833204,84333194.89675757,84333399.28957453,84332042.42816973,84332548.0925887,84332910.55263235,84333179.99402691,84333386.48308033,84332020.4605052,84332528.79774888,84332893.82604378,84333165.54574996,84333374.00436866,84331999.43473385,84332510.24809329,84332877.67697965,84333151.53674686,84333361.85139038,84331979.28062701,84332492.39522278,84332862.07463236,84333137.95020875,84333350.01855935
2,2021-07-03,84330363.22614409,84331124.99486077,84331671.25345244,84332076.58963016,84332386.28978917,84330300.2979543,84331074.33498245,84331632.25596309,84332047.90747969,84332366.53336817,84330240.8846263,84331025.0789944,84331592.88506877,84332017.38374926,84332343.7155154,84330184.9387984,84330977.68342493,84331554.00398995,84331986.21177086,84332319.30320016,84330132.27328898,84330932.31241043,84331516.06227386,84331955.0726521,84332294.16859029,84330082.65102996,84330888.9824454,84331479.28401083,84331924.35912612,84332268.84319675,84330035.82609273,84330847.63583875,84331443.7669365,84331894.29550838,84332243.65537913,84329991.56209916,84330808.17926528,84331409.53690256,84331865.00503542,84332218.80841975,84329949.639855,84330770.50441767,84331376.5788309,84331836.54911235,84332194.4266416,84329909.85978404,84330734.49914286,84331344.85475343,84331808.95089585,84332170.58355798,84329872.04188102,84330700.05338052,84331314.31451531,84331782.20981763,84332147.31953,84329836.0245372,84330667.06220807,84331284.90219274,84331756.31070586,84332124.65309857,84329801.66291875,84330635.42725804,84331256.55995095,84331731.22960007,84332102.58839612,84329768.82723765,84330605.05721924,84331229.23034564,84331706.93749784,84332081.1200704,84329737.40107922,84330575.86782871,84331202.85766566,84331683.40278338,84332060.23659709
3,2021-07-04,84327988.24555413,84329073.08833843,84329873.86376645,84330480.22869037,84330950.45890442,84327903.4162841,84329002.00301512,84329817.6098045,84330438.01721215,84330920.94134565,84327823.51400167,84328933.02217321,84329760.90480706,84330393.14827393,84330886.8787826,84327748.44209978,84328866.77146943,84329704.99128863,84330347.3823913,84330850.47031128,84327677.91962771,84328803.46486835,84329650.5106947,84330301.72099301,84330813.02154373,84327611.60299328,84328743.11001499,84329597.77777557,84330256.73852865,84330775.32629113,84327549.14087266,84328685.61211206,84329546.92491405,84330212.76048453,84330737.87328915,84327490.19840345,84328630.82818714,84329497.98132052,84330169.96327935,84330700.9636278,84327434.46684916,84328578.59598045,84329450.91792971,84330128.43243721,84330664.78011632,84327381.66633104,84328528.74938412,84329405.67348354,84330088.19749571,84330629.42960513,84327331.5453067,84328481.126566,84329362.16994254,84330049.25346541,84330594.96951373,84327283.87861459,84328435.57404317,84329320.32167768,84330011.5742761,84330561.42483683,84327238.46498881,84328391.94849333,84329280.04095608,84329975.12132421,84330528.79925169,84327195.12448841,84328350.117305,84329241.24118116,84329939.84896025,84330497.08248429,84327153.69605102,84328309.9584368,84329203.83875482,84329905.70802966,84330466.25525427
4,2021-07-05,84325323.77287821,84326726.2742604,84327789.5598561,84328610.0448028,84329255.24993052,84325219.77398932,84326635.82562663,84327716.10740517,84328553.87630792,84329215.40574053,84325122.0026511,84326548.1990533,84327642.16509767,84328494.23371936,84329169.46158123,84325030.30709922,84326464.17398636,84327569.35190953,84328433.46449573,84329120.39467189,84324944.3139691,84326384.00467964,84327498.49712066,84328372.89984815,84329069.97032346,84324863.57788661,84326307.68392195,84327430.00184248,84328313.29982524,84329019.25956494,84324787.64832975,84326235.076045,84327364.02902147,84328255.09193368,84328968.91975567,84324716.09861939,84326165.98612905,84327300.60753843,84328198.50499736,84328919.35404864,84324648.5371124,84326100.19663854,84327239.69109717,84328143.64704552,84328870.80558135,84324584.6099813,84326037.4868478,84327181.19233829,84328090.55199426,84328823.41492254,84324524.00010404,84325977.64293958,84327125.00292175,84328039.20829627,84328777.25605513,84324466.42428593,84325920.4629642,84327071.00544623,84327989.57685429,84328732.35942066,84324411.62990797,84325865.75894633,84327019.08051677,84327941.60237855,84328688.7269506,84324359.39153229,84325813.35741572,84326969.11088064,84327895.22065389,84328646.342019,84324309.50770923,84325763.09908535,84326920.98377074,84327850.36320966,84328605.17611028
5,2021-07-06,84322433.59936106,84324136.74812278,84325460.82463112,84326500.91551821,84327329.68938105,84322313.65522937,84324028.72421105,84325370.92351107,84326430.91932803,84327279.35033342,84322201.06882434,84323924.21725586,84325280.52870539,84326356.66254915,84327221.34458421,84322095.63325676,84323824.14076735,84325191.61775815,84326281.07571118,84327159.44344619,84321996.89040875,84323728.77976544,84325105.19652675,84326205.81606865,84327095.88042904,84321904.3037626,84323638.10818943,84325021.74518162,84326131.82579845,84327032.00798222,84321817.3350365,84323551.94857433,84324941.4524132,84326059.63130833,84326968.65381585,84321735.47695594,84323470.0548396,84324864.3435727,84325989.5110841,84326906.3234553,84321658.26552275,84323392.15590085,84324790.35302058,84325921.59328166,84326845.31987894,84321585.28266878,84323317.97863236,84324719.36593045,84325855.91415145,84326785.81645772,84321516.15452175,84323247.25967473,84324651.24281661,84325792.45384097,84326727.90261216,84321450.54783563,84323179.75112176,84324585.8340279,84325731.1587376,84326671.61302489,84321388.1658338,84323115.22282965,84324522.98829074,84325671.9555998,84326616.94667238,84321328.74406247,84323053.46287443,84324462.55766581,84325614.76057188,84326563.87940723,84321272.04652399,84322994.2770195,84324404.40031932,84325559.48495461,84326512.37237251
6,2021-07-07,84319365.33934405,84321345.44022113,84322922.11503354,84324181.82483949,84325198.33789982,84319232.67873386,84321221.96627444,84322816.93017937,84324098.50414687,84325137.62061577,84319108.31092876,84321102.65426175,84322711.27588418,84324010.18470281,84325067.69956128,84318991.97844888,84320988.53108296,84322607.46152729,84323920.36019218,84324993.13425829,84318883.14996971,84320879.90416041,84322506.65439017,84323831.00138551,84324916.62208104,84318781.211695,84320776.7265959,84322409.40508485,84323743.2243745,84324839.79344499,84318685.55165666,84320678.78046232,84322315.92326578,84323657.64892614,84324763.64355846,84318595.59534444,84320585.77154447,84322226.22829238,84323574.59937769,84324688.77792814,84318510.81868902,84320497.37903371,84322140.2341456,84323494.22136317,84324615.557357,84318430.75049464,84320413.28153153,84322057.79838158,84323416.55162045,84324544.18631355,84318354.97010991,84320333.17029122,84321978.7507682,84323341.56070997,84324474.76821314,84318283.10314997,84320256.75548272,84321902.91014023,84323269.17962681,84324407.34075746,84318214.81663667,84320183.76862644,84321830.09428051,84323199.31659485,84324341.89893243,84318149.81420472,84320113.96294166,84321760.12560807,84323131.86775072,84324278.41019127,84318087.83166005,84320047.11259201,84321692.834319,84323066.72395864,84324216.82459101
7,2021-07-08,84316155.86861883,84318385.39427754,84320202.081847,84321677.40908675,84322882.42700286,84316013.47642186,84318248.70078297,84320083.01296535,84321581.51460329,84322811.65226226,84315880.11445326,84318116.74699892,84319963.51939483,84321479.9416799,84322730.19505306,84315755.48209806,84317990.65335578,84319846.21079263,84321376.71649484,84322643.38132116,84315638.98829152,84317870.74284442,84319732.39885457,84321274.10505393,84322554.35870278,84315529.95707832,84317756.94744745,84319622.69566917,84321173.38616483,84322465.0266634,84315427.7176825,84317649.01176207,84319517.32748604,84321075.2659971,84322376.54185213,84315331.64221539,84317546.59797135,84319416.30598435,84320980.11041683,84322289.60553208,84315241.15910636,84317449.34070204,84319319.52465442,84320888.07989481,84322204.633328,84315155.75528453,84317356.87557553,84319226.81424747,84320799.21011087,84322121.85864474,84315074.97332853,84317268.85362202,84319137.97512555,84320713.46121815,84322041.39732543,84314998.40659495,84317184.94799143,84319052.79623511,84320630.74848343,84321963.28895237,84314925.69378024,84317104.85645229,84318971.06617571,84320550.96158484,84321887.52369638,84314856.51359959,84317028.30161195,84318892.57952647,84320473.97685733,84321814.06002018,84314790.57988079,84316955.0299435,84318817.1402988,84320399.66507833,84321742.83647881
8,2021-07-09,84312828.14902554,84315278.70912237,84317320.66207513,84319005.22878091,84320397.31583948,84312678.52323641,84315130.90336159,84317189.1598073,84318897.62444614,84320316.91905323,84312538.48532028,84314988.34034587,84317057.29020438,84318783.72239968,84320224.4343308,84312407.70050956,84314852.21668859,84316927.9308734,84318668.04554912,84320125.92302367,84312285.53160913,84314722.86598246,84316802.52108677,84318553.13430595,84320024.96412994,84312171.25508215,84314600.20020407,84316681.72603276,84318440.41783935,84319923.71421249,84312064.1553547,84314483.93050595,84316565.78493103,84318330.68137817,84319823.48359965,84311963.56401096,84314373.68078527,84316454.70086382,84318224.32803078,84319725.06418234,84311868.87350701,84314269.04684997,84316348.34745856,84318121.53072643,84319628.92298743,84311779.53912534,84314169.627071,84316246.53015365,84318022.32291919,84319535.32007483,84311695.07570551,84314075.03774373,84316149.02185753,84317926.65396181,84319444.38220865,84311615.0523066,84313984.92013942,84316055.58379757,84317834.42349668,84319356.14988044,84311539.0863199,84313898.94302966,84315965.97763006,84317745.50307609,84319270.60784982,84311466.83774124,84313816.80277492,84315879.97231731,84317659.7498505,84319187.70525788,84311398.00390802,84313738.22214772,84315797.34784137,84317577.01524566,84319107.36901511
9,2021-07-10,84309399.64461587,84312042.7420851,84314293.86246738,84316179.60817507,84317755.6793821,84309244.77598293,84311885.74152452,84314151.35671191,84316061.21125104,84317666.16757134,84309099.8994805,84311734.41041563,84314008.54708527,84315935.95679638,84317563.24413027,84308964.65535776,84311590.00685897,84313868.54757929,84315808.82616438,84317453.66885655,84308838.37283441,84311452.8716626,84313732.90904476,84315682.61221257,84317341.42985415,84308720.2937955,84311322.89885107,84313602.342196,84315558.88173066,84317228.92695911,84308609.67014773,84311199.7707074,84313477.09631939,84315438.49167156,84317117.61541578,84308505.80407964,84311083.07845086,84313357.16561152,84315321.8783109,84317008.3721297,84308408.06197093,84310972.38494517,84313242.40500143,84315209.22496712,84316901.71193445,84308315.87617609,84310867.2570633,84313132.59656109,84315100.56204787,84316797.91927198,84308228.74144645,84310767.2818074,84313027.48807974,84314995.82806554,84316697.13043635,84308146.2092519,84310672.07362004,84312926.81555556,84314894.907483,84316599.38603345,84308067.88156588,84310581.27691151,84312830.31621,84314797.65446724,84316504.66502295,84307993.4048417,84310494.56602393,84312737.73583642,84314703.90789725,84316412.90711378,84307922.46448986,84310411.64387357,84312648.83273074,84314613.5008528,84316324.02765147
