,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333781.03321765,84333982.47672033,84334118.17348716,84334214.63400155,84334286.09146324,84333762.408341,84333968.72225577,84334108.1851357,84334207.58729108,84334281.3857006,84333744.71773455,84333955.28606258,84334098.06502081,84334200.06824906,84334275.94052964,84333727.96482295,84333942.29857656,84334088.03510109,84334192.36832862,84334270.10273688,84333712.10964686,84333929.81162731,84334078.21320295,84334184.65511046,84334264.07911277,84333697.09513688,84333917.83667418,84334068.66005936,84334177.02631114,84334257.9963042,84333682.85940838,84333906.3643537,84334059.40412652,84334169.53870465,84334251.93312228,84333669.341509,84333895.37484482,84334050.45527345,84334162.22436811,84334245.93886632,84333656.48399065,84333884.84350018,84334041.81260182,84334155.10016713,84334240.04414693,84333644.2339113,84333874.7439427,84334033.46903472,84334148.17347111,84334234.26749723,84333632.5430589,84333865.0497644,84334025.41406368,84334141.44568676,84334228.61952628,84333621.3677995,84333855.73543802,84334017.63541488,84334134.9144879,84334223.10559043,84333610.66875622,84333846.77677856,84334010.12006621,84334128.57524598,84334217.72754571,84333600.41042568,84333838.15114644,84334002.85486665,84334122.42195866,84334212.48491627,84333590.5607865,84333829.83750238,84333995.82690872,84334116.44785762,84334207.37568395
1,2021-07-02,84332064.64961983,84332564.5326954,84332913.78096442,84333168.32791604,84333360.3153929,84332021.09924017,84332530.74302758,84332888.41236395,84333150.00075544,84333347.85899983,84331979.88499701,84332497.82840702,84332862.76388945,84333130.47580375,84333333.46128014,84331940.9903814,84332466.0998939,84332837.39808795,84333110.51379776,84333318.04432312,84331904.30015875,84332435.67422856,84332812.61025259,84333090.55026764,84333302.15702905,84331869.66233224,84332406.56934428,84332788.54965724,84333070.83751544,84333286.1345988,84331836.9167045,84332378.75298522,84332765.28344528,84333051.52067913,84333270.18474391,84331805.90791391,84332352.16833098,84332742.83179875,84333032.68044381,84333254.43661456,84331776.49101847,84332326.74780366,84332721.18796742,84333014.35795456,84333238.96970086,84331748.53344816,84332302.4205737,84332700.32997511,84332996.56980354,84333223.83147953,84331721.91519687,84332279.11661063,84332680.22759104,84332979.31727478,84333209.04849061,84331696.52819334,84332256.76880066,84332660.84653014,84332962.5921622,84333194.63345264,84331672.2753273,84332235.31396982,84332642.15099415,84332946.38048826,84333180.58992232,84331649.06937212,84332214.69328581,84332624.10520102,84332930.66490757,84333166.91539477,84331626.83192317,84332194.8523098,84332606.67428854,84332915.42627122,84333153.6033932
2,2021-07-03,84329813.45514028,84330654.66593719,84331261.65125304,84331714.12234563,84332061.04524206,84329744.1828412,84330598.50660154,84331218.19634071,84331682.03671378,84332038.87754092,84329678.81620014,84330543.92896578,84331174.34161174,84331647.90065372,84332013.28002195,84329617.29682428,84330491.4363699,84331131.04850793,84331613.04991905,84331985.9000464,84329559.41317037,84330441.20773083,84331088.81669855,84331578.24629544,84331957.71670982,84329504.89964695,84330393.25843662,84331047.89434065,84331543.92849717,84331929.32635865,84329453.48170842,84330347.52193362,84331008.38876446,84331510.34662743,84331901.09710878,84329404.89600714,84330303.89249992,84330970.3272874,84331477.63765323,84331873.25658953,84329358.8986794,84330262.2481257,84330933.69175419,84331445.8693866,84331845.94377418,84329315.26792118,84330222.46282557,84330898.43865152,84331415.06690376,84331819.24061342,84329273.80384928,84330184.41318423,84330864.51103099,84331385.22880869,84331793.19187514,84329234.3271376,84330147.98169562,84330831.84564942,84331356.33744176,84331767.81787366,84329196.67717457,84330113.0583015,84330800.3772539,84331328.36538349,84331743.12279248,84329160.7101138,84330079.54091877,84330770.04113214,84331301.27964146,84331719.10021143,84329126.29699595,84330047.33540641,84330740.77459513,84331275.0443614,84331695.73682289
3,2021-07-04,84327170.65384105,84328360.59576237,84329244.78445914,84329917.71790582,84330441.63750142,84327077.86815956,84328282.28234178,84329182.46542838,84329870.75243899,84330408.68283224,84326990.51929606,84328206.32387744,84329119.67165712,84329820.84576286,84330370.66268471,84326908.49308492,84328133.4054907,84329057.77881917,84329769.95791851,84330330.03443688,84326831.47483416,84328063.75838359,84328997.49547926,84329719.20282191,84330288.25648959,84326759.08254936,84327997.38670892,84328939.16786915,84329669.21856254,84330246.21499005,84326690.92688215,84327934.18222642,84328882.94016804,84329620.36590332,84330204.45501652,84326626.63742442,84327873.98413184,84328828.84241284,84329572.83966133,84330163.31191844,84326565.87311362,84327816.61085467,84328776.84030499,84329526.73355417,84330122.98889805,84326508.32507583,84327761.87701416,84328726.86412176,84329482.07909873,84330083.60434055,84326453.71593568,84327709.60231034,84328678.825781,84329438.86951257,84330045.22147518,84326401.79757999,84327659.61595614,84328632.62900408,84329397.07468103,84330007.86738457,84326352.34836142,84327611.75862332,84328588.17537032,84329356.650664,84329971.54541558,84326305.17022447,84327565.88300624,84328545.3678831,84329317.54579341,84329936.24340616,84326260.08597983,84327521.8536309,84328504.11301103,84329279.70460291,84329901.93920474
4,2021-07-05,84324215.80406204,84325745.98280884,84326913.87345986,84327819.89233795,84328535.39497522,84324102.58249173,84325646.82562941,84326832.89271457,84327757.6845942,84328491.1038481,84323996.19520935,84325550.80758591,84326751.40484376,84327691.65070665,84328440.04447582,84323896.46701285,84325458.77779014,84326671.19355488,84327624.39218427,84328385.52948682,84323802.98281033,84325371.009196,84326593.17030753,84327557.38287987,84328329.52225311,84323715.25057314,84325287.48847881,84326517.77398753,84327491.46303163,84328273.21315101,84323632.77397825,84325208.06210862,84326445.18090162,84327427.10414664,84328217.33205174,84323555.08376192,84325132.51226401,84326375.41977596,84327364.55757658,84328162.32592276,84323481.74970467,84325060.59695259,84326308.43676776,84327303.94094755,84328108.463731,84323412.38348399,84324992.07123438,84326244.13309315,84327245.28994052,84328055.90041533,84323346.63732304,84324926.69821462,84326182.38715318,84327188.59005414,84328004.71694784,84323284.20085123,84324864.25440753,84326123.06764635,84327133.79645148,84327954.94598192,84323224.79736364,84324804.5319817,84326066.04132788,84327080.84653243,84327906.58857499,84323168.18005256,84324747.33928719,84326011.177537,84327029.66797005,84327859.625255,84323114.1284734,84324692.5004565,84325958.35075071,84326980.18386754,84327814.02342995
5,2021-07-06,84321022.90945768,84322872.35414633,84324319.73246172,84325462.89704525,84326377.87010889,84320892.84620714,84322754.44584553,84324221.05435492,84325385.70865537,84326322.14431126,84320770.81942339,84322640.428312,84324121.8742798,84325303.84904402,84326257.94775356,84320656.59391502,84322531.29227257,84324024.36124845,84325220.55185702,84326189.45935035,84320549.66359712,84322427.34205112,84323929.61578484,84325137.64392653,84326119.15291616,84320449.4389824,84322328.5428881,84323838.16079988,84325056.16222803,84326048.52532375,84320355.33010627,84322234.69551533,84323750.19928993,84324976.68471399,84325978.49169135,84320266.78182846,84322145.52656174,84323665.75526245,84324899.51581721,84325909.61005902,84320183.28691389,84322060.73609902,84323584.75324878,84324824.79427983,84325842.21409032,84320104.38871902,84321980.02261582,84323507.06420657,84324752.5576796,84325776.49396515,84320029.67915504,84321903.09581162,84323432.53242025,84324682.78195012,84325712.54700294,84319958.79469159,84321829.68271708,84323360.99137244,84324615.40602635,84325650.4100413,84319891.41174956,84321759.53013833,84323292.27307913,84324550.34741843,84325590.08052105,84319827.24212563,84321692.40509166,84323226.21348919,84324487.51213582,84325531.53041811,84319766.02873677,84321628.09416838,84323162.65548882,84324426.80103087,84325474.71555409
6,2021-07-07,84317641.85768677,84319783.73232245,84321500.1348582,84322878.96562839,84323996.6815621,84317498.4290173,84319649.4387422,84321385.11584115,84322787.43183969,84323929.71681274,84317364.02464607,84319519.72769715,84321269.62872432,84322690.43859157,84323852.6211791,84317238.35510543,84319395.70903787,84321156.19684723,84322591.82621856,84323770.42819563,84317120.83645746,84319277.70970576,84321046.0924984,84322493.7588274,84323686.11430006,84317010.79726574,84319165.6718143,84320939.91298649,84322397.46007244,84323601.47724043,84316907.56954671,84319059.35230215,84320837.88283797,84322303.60774724,84323517.613155,84316810.52704513,84318958.42601183,84320740.01885253,84322212.5549657,84323435.18788522,84316719.09903876,84318862.5396708,84320646.22306879,84322124.45863925,84323354.5972114,84316632.77277125,84318771.34007168,84320556.33630966,84322039.35627912,84323276.06449449,84316551.09077282,84318684.48836885,84320470.16946824,84321957.21296936,84323199.70174184,84316473.64610665,84318601.66679564,84320387.52189338,84321877.95060802,84323125.54863065,84316400.07701272,84318522.58122733,84320308.19214499,84321801.46634394,84323053.59789114,84316330.06164415,84318446.96148904,84320231.98416576,84321727.64429237,84322983.81205466,84316263.31320152,84318374.56047586,84320158.71067184,84321656.36299683,84322916.13462718
7,2021-07-08,84314115.65309055,84316519.06693351,84318489.30960654,84320097.92267688,84321417.84751134,84313962.09007184,84316370.86589503,84318359.55869386,84319992.94975409,84321340.06657442,84313818.32324786,84316227.8615393,84318229.39412205,84319881.79691948,84321250.56879029,84313684.01738098,84316091.26117861,84318101.65741737,84319768.87398449,84321155.21293232,84313558.52561752,84315961.40719363,84317977.77335893,84319656.66034533,84321057.45993066,84313441.11122617,84315838.21863666,84317858.40366915,84319546.55303255,84320959.39672495,84313331.04453681,84315721.41230004,84317743.78969957,84319439.3215526,84320862.29270107,84313227.64335698,84315610.6165544,84317633.93939361,84319335.36276281,84320766.91621195,84313130.28722285,84315505.43074806,84317528.7324297,84319234.84882556,84320673.72149915,84313038.41955432,84315405.45605098,84317427.98065768,84319137.81556964,84320582.96255666,84312951.54442027,84315310.31096981,84317331.46331711,84319044.2164648,84320494.76430053,84312869.22115661,84315219.63852096,84317238.9476611,84318953.9561676,84320409.16801195,84312791.05840011,84315133.10885082,84317150.20096187,84318866.9116295,84320326.16086541,84312716.7082698,84315050.41939975,84317064.9973509,84318782.94547614,84320245.69538647,84312645.86101268,84314971.2937846,84316983.12153271,84318701.914501,84320167.70241235
8,2021-07-09,84310464.79228011,84313099.395949,84315306.96828331,84317137.57767297,84318657.23205265,84310303.69201466,84312939.53559907,84315164.07622364,84317020.14450984,84318569.15118608,84310152.97016641,84312785.40348774,84315020.83627686,84316895.87745853,84318467.85279395,84310012.2556194,84312638.28626221,84314880.37282047,84316769.71514584,84318359.98373508,84309880.85321993,84312498.53683805,84314744.24489373,84316644.42871521,84318249.46690682,84309757.97647715,84312366.05275555,84314613.16971527,84316521.57472816,84318138.66430351,84309642.84890433,84312240.51527564,84314487.40175031,84316402.00627437,84318029.0094716,84309534.74597564,84312121.51223509,84314366.93932363,84316286.15929614,84317921.36734873,84309433.00966428,84312008.60195602,84314251.64065789,84316174.21870305,84317816.24675055,84309337.05035485,84311901.34628412,84314141.29045467,84316066.21749485,84317713.9297664,84309246.3431672,84311799.32708725,84314035.63860376,84315962.09724125,84317614.55259366,84309160.42208542,84311702.15377733,84313934.42278111,84315861.74561699,84317518.15711379,84309078.87352103,84311609.46595033,84313837.38154732,84315765.01997758,84317424.72437362,84309001.33006868,84311520.93340605,84313744.26176274,84315671.76226848,84317334.19662224,84308927.46477856,84311436.25481237,84313654.822571,84315581.80846258,84317246.49196842
9,2021-07-10,84306706.02934939,84309541.94826749,84311969.41399558,84314012.8163663,84315728.21857375,84306539.43138167,84309372.4374389,84311814.91311662,84313883.93104647,84315630.41250633,84306383.63523962,84309209.10439843,84311660.1347497,84313747.62167563,84315517.97982582,84306238.24367663,84309053.30002409,84311508.45239995,84313609.31352153,84315398.31331529,84306102.52638541,84308905.38451497,84311361.54241447,84313472.04539329,84315275.77253115,84305975.6606737,84308765.23631914,84311220.16960771,84313337.519505,84315152.97887994,84305856.8360046,84308632.5061901,84311084.59865724,84313206.66461992,84315031.52022055,84305745.29707058,84308506.74749932,84310954.81815124,84313079.95144343,84314912.35182461,84305640.35853744,84308387.4838578,84310830.66627343,84312957.57550786,84314796.03312775,84305541.40677805,84308274.24394552,84310711.90280946,84312839.56621973,84314682.87185879,84305447.89587379,84308166.57880104,84310598.25092651,84312725.85332854,84314573.0140345,84305359.34138669,84308064.0696114,84310489.42149876,84312616.30812588,84314466.5013417,84305275.3135798,84307966.33035158,84310385.12715435,84312510.76928157,84314363.3083558,84305195.43086281,84307873.00767079,84310285.09018293,84312409.05914885,84314263.36701134,84305119.35379286,84307783.77936451,84310189.04674369,84312310.99405877,84314166.58285706
