,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333811.84442224,84334007.8151304,84334139.62661211,84334233.22860885,84334302.5169365,84333793.70765102,84333994.4455818,84334129.9296757,84334226.39343151,84334297.95536664,84333776.47785115,84333981.38381167,84334120.10394195,84334219.09963088,84334292.6768085,84333760.15879133,84333968.75675395,84334110.36490719,84334211.62986654,84334287.01735994,84333744.71195008,84333956.61495951,84334100.82701892,84334204.14669085,84334281.177451,84333730.0820896,84333944.96973507,84334091.5493141,84334196.74491285,84334275.27984704,84333716.20923012,84333933.81213294,84334082.55949822,84334189.47963901,84334269.40095642,84333703.03425312,84333923.12302293,84334073.86722878,84334182.38202421,84334263.58858679,84333690.50141305,84333912.8785661,84334065.47170414,84334175.46846844,84334257.87243284,84333678.55931935,84333903.05322605,84334057.36611745,84334168.74615881,84334252.2704827,84333667.1611604,84333893.62142211,84334049.54032345,84334162.21649578,84334246.79304282,84333656.26456027,84333884.5584172,84334041.98245648,84334155.87725602,84334241.44532688,84333645.83127013,84333875.84076832,84334034.67991842,84334149.7239797,84334236.22915405,84333635.82679789,84333867.44652548,84334027.6199807,84334143.75087146,84334231.14408155,84333626.22002958,84333859.3552865,84334020.79014638,84334137.95139018,84334226.18816997
1,2021-07-02,84332139.5432725,84332628.1914224,84332968.92973624,84333216.9280853,84333403.78184235,84332096.92186879,84332595.19719939,84332944.19821021,84333199.08241844,84333391.66369359,84332056.5792051,84332563.05258936,84332919.19092336,84333180.06876877,84333377.65605958,84332018.50037485,84332532.06182605,84332894.45636196,84333160.62774011,84333362.65576446,84331982.573709,84332502.33945934,84332870.2826177,84333141.18343836,84333347.19672044,84331948.65139258,84332473.9035373,84332846.81548356,84333121.98163778,84333331.60502861,84331916.57742776,84332446.72304872,84332824.12069228,84333103.16380078,84333316.08281027,84331886.20041326,84332420.74293628,84332802.2181811,84333084.8086422,84333300.75578289,84331857.37903155,84332395.89758025,84332781.10160881,84333066.95637432,84333285.70136286,84331829.98397967,84332372.11813317,84332760.74976544,84333049.62329368,84333270.96582492,84331803.89817417,84332349.33648166,84332741.13336883,84333032.8107799,84333256.5750734,84331779.0161495,84332327.48732069,84332722.21916124,84333016.51095986,84333242.54156207,84331755.24311638,84332306.50915864,84332703.97238891,84333000.71032882,84333228.8688258,84331732.49391663,84332286.34471458,84332686.35829532,84332985.39209142,84333215.55449641,84331710.69199164,84332266.94097352,84332669.3430046,84332970.53768592,84333202.59233554
2,2021-07-03,84329940.7674732,84330765.65515746,84331359.59827085,84331801.64052704,84332140.15153085,84329872.76279584,84330710.65498504,84331317.11650299,84331770.31645437,84332118.53319204,84329808.5803176,84330657.19534452,84331274.23834,84331736.98729609,84332093.56821124,84329748.16479425,84330605.77012181,84331231.90385175,84331702.95682406,84332066.8626597,84329691.31037427,84330556.55556993,84331190.6019533,84331668.96879607,84332039.37120517,84329637.75785595,84330509.5677381,84331150.57577564,84331635.45173042,84332011.67542996,84329587.23898022,84330464.74232295,84331111.93078542,84331602.65008207,84331984.13444011,84329539.49625303,84330421.97654727,84331074.69419733,84331570.69787607,84331956.97038601,84329494.2911192,84330381.1515731,84331038.8487246,84331539.66161868,84331930.31897947,84329451.40652564,84330342.14457151,84331004.35223916,84331509.56607653,84331904.26032645,84329410.64681433,84330304.8351459,84330971.14942896,84331480.41014859,84331878.83826596,84329371.83640696,84330269.1086148,84330939.17878224,84331452.17683084,84331854.07277879,84329334.81801535,84330234.85752973,84330908.37678151,84331424.8395662,84331829.96810204,84329299.45074297,84330201.98220123,84330878.68040164,84331398.36633356,84331806.51811828,84329265.60825348,84330170.39067477,84330850.02856407,84331372.72229658,84331783.7099801
3,2021-07-04,84327352.85437861,84328522.84539859,84329390.29422633,84330049.35257623,84330561.77343838,84327261.5311323,84328445.95033331,84329329.21885532,84330003.39280796,84330529.56283243,84327175.54371463,84328371.35563111,84329267.66993102,84329954.54958205,84330492.39814313,84327094.78251204,84328299.735385,84329206.99595365,84329904.74055402,84330452.68051657,84327018.94018006,84328231.31810403,84329147.89203641,84329855.05589388,84330411.8351714,84326947.6427358,84328166.10927373,84329090.69832592,84329806.12038907,84330370.7282844,84326880.50859948,84328104.0038658,84329035.55695368,84329758.28754689,84330329.89282323,84326817.17452982,84328044.8450701,84328982.49813361,84329711.74851131,84330289.65684064,84326757.30591966,84327988.45552641,84328931.48895214,84329666.59547982,84330250.21925692,84326700.59964141,84327934.65399118,84328882.4616976,84329622.85974953,84330211.69609424,84326646.78340697,84327883.26408744,84328835.33058733,84329580.53509848,84330174.14945316,84326595.61359818,84327834.11867505,84328790.00173484,84329539.59243016,84330137.60608497,84326546.87253983,84327787.06177798,84328746.3790911,84329499.98907803,84330102.06951907,84326500.36569114,84327741.94915192,84328704.36794741,84329461.67477521,84330067.52810305,84326455.91897905,84327698.64810857,84328663.87694322,84329424.5955034,84330033.96039799
4,2021-07-05,84324456.47674751,84325963.79878415,84327111.76057968,84328000.76054622,84328701.82686627,84324344.86024678,84325866.2655056,84327032.25349545,84327939.77746052,84328658.46171665,84324239.96428992,84325771.80558549,84326952.23788804,84327875.03652272,84328608.46567503,84324141.61927797,84325681.25596008,84326873.46541062,84327809.08749682,84328555.08108407,84324049.41869001,84325594.88696304,84326796.83185974,84327743.37539154,84328500.22993127,84323962.87969933,84325512.68721734,84326722.76922262,84327678.72441392,84328445.07777502,84323881.51483458,84325434.50723545,84326651.45168358,84327615.59743921,84328390.33951615,84323804.86295517,84325360.13407692,84326582.90845639,84327554.24155556,84328336.45317312,84323732.50112987,84325289.3308264,84326517.08758496,84327494.77273779,84328283.68252592,84323664.04750356,84325221.85749312,84326453.89288154,84327437.22658272,84328232.17971326,84323599.16001008,84325157.48184916,84326393.2056552,84327381.58943614,84328182.02443597,84323537.53331308,84325095.9847288,84326334.89759535,84327327.81784688,84328133.2490583,84323478.8951473,84325037.16225778,84326278.83840062,84327275.8508938,84328085.85497682,84323423.00262618,84324980.8263894,84326224.90023445,84327225.61806808,84328039.82345444,84323369.63877602,84324926.80452682,84326172.96024223,84327177.04433386,84327995.1228761
5,2021-07-06,84321325.23227489,84323149.44334759,84324574.14293438,84325697.45022166,84326595.23626089,84321196.88641101,84323033.32534254,84324477.13407955,84325621.68094113,84326540.60377364,84321076.45365822,84322921.02317256,84324379.61931704,84325541.31772058,84326477.6614688,84320963.70518503,84322813.51449323,84324283.73148707,84325459.53413497,84326410.50498427,84320858.14437738,84322711.10109492,84324190.55361626,84325378.12366788,84326341.55919181,84320759.19183294,84322613.75068526,84324100.60107277,84325298.10487899,84326272.29170196,84320666.26724622,84322521.268727,84324014.07471076,84325220.04591037,84326203.60006057,84320578.8243154,84322433.38745977,84323930.99932714,84325144.24644978,84326136.03187333,84320496.36371833,84322349.81274223,84323851.30179876,84325070.84351107,84326069.91481982,84320418.43582107,84322270.24867527,84323774.85620354,84324999.87474339,84326005.435912,84320344.63871501,84322194.41023098,84323701.51027322,84324931.31721279,84325942.69109842,84320274.61431116,84322122.02930713,84323631.10100842,84324865.11159281,84325881.71699497,84320208.04382363,84322052.85715787,84323563.46386927,84324801.17745519,84325822.51155114,84320144.6432783,84321986.66484182,84323498.43809672,84324739.42301714,84325765.04770759,84320084.15933214,84321923.24261317,84323435.86967784,84324679.75137477,84325709.2825256
6,2021-07-07,84318006.21635321,84320121.31671081,84321812.97667068,84323169.63268468,84324267.78746094,84317864.55945568,84319988.92005947,84321699.77044007,84323079.67284916,84324202.05685446,84317731.79807532,84319861.02436775,84321586.08961596,84322984.33745383,84324126.37579095,84317607.64962797,84319738.72595392,84321474.4183886,84322887.400105,84324045.6835113,84317491.54021394,84319622.34939517,84321366.01027821,84322790.9880005,84323962.90112923,84317382.809016,84319511.83970737,84321261.45465979,84322696.30453044,84323879.7934061,84317280.79818565,84319406.959089,84321160.97398105,84322604.01679836,84323797.4367521,84317184.89072005,84319307.38853413,84321064.58612299,84322514.47284852,84323716.485366,84317094.52416603,84319212.78107266,84320972.19586733,84322427.8278579,84323637.32841738,84317009.19308186,84319122.78958409,84320883.64759432,84322344.11958276,84323560.18583204,84316928.44643931,84319037.08092432,84320798.75608443,84322263.31451078,84323485.16820242,84316851.88296708,84318955.34257771,84320717.3246288,84322185.33659798,84323412.31507678,84316779.14589126,84318877.28520942,84320639.15563038,84322110.08539277,84323341.61986901,84316709.91776061,84318802.64299057,84320564.0566936,84322037.44755706,84323273.04629727,84316643.91565996,84318731.17274885,84320491.84397517,84321967.3042077,84323206.53935367
7,2021-07-08,84314541.66649413,84316917.44510111,84318861.5052197,84320446.14321287,84321744.53763793,84314389.88941059,84316771.19943371,84318733.66418375,84320342.86082046,84321668.10420917,84314247.77752785,84316630.06454313,84318605.40067486,84320233.48693237,84321580.14972232,84314115.00279613,84316495.23406,84318479.5150967,84320122.35959783,84321486.42971694,84313990.92868748,84316367.04819691,84318357.41266662,84320011.91864823,84321390.34464645,84313874.82934137,84316245.42923945,84318239.74698092,84319903.53950334,84321293.94548099,84313765.98543595,84316130.09960832,84318126.75742333,84319797.98036917,84321198.48017408,84313663.72420943,84316020.69418776,84318018.45327678,84319695.63284056,84321104.70450108,84313567.43361534,84315916.81896497,84317914.71728472,84319596.66738883,84321013.06562711,84313476.56451152,84315818.0815009,84317815.36519487,84319501.12026167,84320923.81393382,84313390.62751113,84315724.10627483,84317720.18047005,84319408.94657469,84320837.07292165,84313309.1877015,84315634.54179385,84317628.93462451,84319320.05331591,84320752.88384934,84313231.85877752,84315549.06320548,84317541.39907017,84319234.3201194,84320671.23474416,84313158.2973146,84315467.37248193,84317457.3518727,84319151.61243711,84320592.07952224,84313088.19749539,84315389.19733629,84317376.58142555,84319071.78990492,84320515.35072732
8,2021-07-09,84310951.63619089,84313558.26914853,84315738.7538454,84317544.06628121,84319040.61999051,84310792.30948927,84313400.38594633,84315597.82984355,84317428.40578167,84318953.97378038,84310643.23024765,84313248.14267866,84315456.54718536,84317306.0025714,84318854.3173554,84310504.03467055,84313102.81237333,84315317.98798251,84317181.71994944,84318748.18740442,84310374.03801024,84312964.7459685,84315183.69130118,84317058.28764614,84318639.44237348,84310252.46469368,84312833.84446631,84315054.36618726,84316937.23970512,84318530.40600882,84310138.54860772,84312709.7949831,84314930.26526998,84316819.4175327,84318422.48914272,84310031.5746686,84312592.1920787,84314811.38842663,84316705.2517198,84318316.54345052,84309930.89326903,84312480.60090086,84314697.59718817,84316594.92555901,84318213.07034867,84309835.92222781,84312374.58984978,84314588.68040125,84316488.47263056,84318112.3482116,84309746.14320159,84312273.74690787,84314484.39241636,84316385.83635502,84318014.51185201,84309661.09591602,84312177.68710037,84314384.47539215,84316286.9069611,84317919.60323888,84309580.37182951,84312086.05513015,84314288.67223214,84316191.54471193,84317827.60442708,84309503.6079812,84311998.5254203,84314196.73391537,84316099.5945984,84317738.4592351,84309430.48134479,84311914.80081381,84314108.423441,84316010.89564411,84317652.08766715
9,2021-07-10,84307258.06251498,84310065.0571239,84312464.26838927,84314480.96527757,84316171.68642274,84307093.30020817,84309897.58873443,84312311.81486824,84314353.94271688,84316075.40378445,84306939.20536782,84309736.20713139,84312159.07213311,84314219.5911007,84315964.71391934,84306795.3881147,84309582.2491244,84312009.3697761,84314083.25651157,84315846.89245932,84306661.12872946,84309436.07286109,84311864.36344214,84313947.93429315,84315726.23048829,84306535.61566706,84309297.56035212,84311724.80951974,84313815.30308415,84315605.30883774,84306418.04900186,84309166.36838384,84311590.97084528,84313686.27946766,84315485.69132291,84306307.68309638,84309042.05725637,84311462.83768111,84313561.32862036,84315368.31922314,84306203.8412471,84308924.15761566,84311340.25170198,84313440.64446239,84315253.74421017,84306105.91745326,84308812.20489734,84311222.97704612,84313324.25708759,84315142.2701574,84306013.37250617,84308705.75644214,84311110.74155417,84313212.09825753,84315034.04169366,84305925.72786486,84308604.39922279,84311003.26079024,84313104.04200551,84314929.1006731,84305842.5589785,84308507.75247785,84310900.25192168,84312999.93010604,84314827.42280759,84305763.48882607,84308415.4676217,84310801.44153987,84312899.58815442,84314728.94175637,84305688.18200006,84308327.22675315,84310706.56982833,84312802.83572292,84314633.56513171
