,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333981.1104117,84334144.83071247,84334254.43395984,84334332.01880445,84334389.32058997,84333965.91109304,84334133.69075689,84334246.38472608,84334326.36011562,84334385.55152127,84333951.46434091,84334122.80313243,84334238.22633903,84334320.3205567,84334381.18943834,84333937.77445425,84334112.27398282,84334230.13770932,84334314.134022,84334376.51189068,84333924.8101813,84334102.14586921,84334222.21398458,84334307.93508898,84334371.68442625,84333912.52611937,84334092.42864513,84334214.50436188,84334301.8023119,84334366.80847903,84333900.87275365,84334083.11525156,84334207.0320401,84334295.78140382,84334361.94721244,84333889.80116893,84334074.1901004,84334199.8052295,84334289.89825878,84334357.14017516,84333879.26517282,84334065.63363543,84334192.82344368,84334284.16655596,84334352.41195746,84333869.22213587,84334057.42484468,84334186.08119415,84334278.59234287,84334347.77747919,84333859.63319421,84334049.54264262,84334179.57020372,84334273.17686959,84334343.24531215,84333850.46314207,84334041.96661475,84334173.28075062,84334267.91837834,84334338.8198176,84333841.68018337,84334034.67739731,84334167.20248994,84334262.81325199,84334334.50254859,84333833.25562996,84334027.65684709,84334161.32495496,84334257.85676023,84334330.29318532,84333825.16359107,84334020.88809049,84334155.63785931,84334253.04354835,84334326.19016759
1,2021-07-02,84332588.4579916,84333000.89513434,84333286.66863997,84333493.73328774,84333649.23383224,84332552.35035774,84332973.15177311,84333265.98074917,84333478.86153741,84333639.1636731,84332518.15152057,84332946.1094913,84333245.05437,84333463.01208135,84333627.52109264,84332485.85236862,84332920.0254384,84333224.34847179,84333446.8017113,84333615.0507604,84332455.36142859,84332894.99744453,84333204.10460228,84333430.58389689,84333602.19613734,84332426.55614094,84332871.04214604,84333184.44542313,84333414.56371251,84333589.22821486,84332399.3065752,84332848.13479152,84333165.42664951,84333398.859402,84333576.31508099,84332373.48631358,84332826.23025039,84333147.06565502,84333383.53695092,84333563.56139588,84332348.97716117,84332805.27435406,84333129.35777324,84333368.6302564,84333551.03170933,84332325.67083739,84332785.21007742,84333112.28583422,84333354.15326546,84333538.76469928,84332303.46919723,84332765.98088752,84333095.82585038,84333340.10746616,84333526.78211099,84332282.28376101,84332747.53250498,84333079.95044754,84333326.48660517,84333515.0945009,84332262.03494866,84332729.8137648,84333064.630945,84333313.27970538,84333503.70499954,84332242.6512203,84332712.77696437,84333049.83861074,84333300.47301851,84333492.61181642,84332224.06822339,84332696.3779217,84333035.54540636,84333288.05129747,84333481.80992942
2,2021-07-03,84330743.64727491,84331446.3987237,84331948.65514418,84332320.43650414,84332603.98190571,84330685.4917448,84331399.75926678,84331912.85140629,84332294.15734462,84332585.90911032,84330630.5677295,84331354.4009571,84331876.69776198,84332266.18675683,84332565.03355849,84330578.83430429,84331310.74529621,84331840.98691931,84332237.61773984,84332542.69663526,84330530.12098809,84331268.94473273,84331806.13214809,84332209.07439344,84332519.69597788,84330484.2108064,84331229.01573254,84331772.33985172,84332180.91680776,84332496.5178141,84330440.8782344,84331190.90633482,84331739.70044209,84332153.35085547,84332473.46265286,84330399.90626268,84331154.53162658,84331708.23829779,84332126.48982665,84332450.7166457,84330361.09350412,84331119.79276109,84331677.94016227,84332100.39035536,84332428.39373948,84330324.25649028,84331086.58722438,84331648.77170023,84332075.07401052,84332406.56140651,84330289.22966713,84331054.81431882,84331620.68732564,84332050.54059543,84332385.25678608,84330255.86434194,84331024.37798226,84331593.63609852,84332026.77650264,84332364.49704456,84330224.02721073,84330995.18810724,84331567.56527282,84332003.76004225,84332344.28615272,84330193.59878123,84330967.16101478,84331542.42241544,84331981.46487634,84332324.61938898,84330164.47184412,84330940.21945757,84331518.15664464,84331959.86224645,84332305.48636986
3,2021-07-04,84328560.93056847,84329565.36523856,84330304.12100247,84330862.00633286,84331293.7394913,84328482.26439838,84329499.703861,84330252.31458291,84330823.22147773,84331266.66684844,84328408.14500825,84329435.9698406,84330200.08174342,84330781.98813014,84331235.42190893,84328338.48673357,84329374.74294993,84330148.56710097,84330739.9233378,84331202.02066703,84328273.03245649,84329316.22285536,84330098.36227496,84330697.94735493,84331167.66026075,84328211.46641262,84329260.41854003,84330049.75820588,84330656.58844925,84331133.06878644,84328153.4651605,84329207.24415559,84330002.87789866,84330616.14627805,84331098.69473577,84328098.72009295,84329156.56912737,84329957.74927756,84330576.78357275,84331064.81459802,84328046.94647528,84329108.24484938,84329914.34650208,84330538.5795365,84331031.59641986,84327997.88604473,84329062.11896874,84329872.61397967,84330501.56189243,84330999.13858727,84327951.30658239,84329018.04291558,84329832.4805623,84330465.72659007,84330967.4941372,84327907.00014454,84328975.87569058,84329793.86801958,84330431.05015688,84330936.68634519,84327864.78079389,84328935.48556009,84329756.69610088,84330397.49755315,84330906.71890819,84327824.48224464,84328896.75058354,84329720.88552935,84330365.02721727,84330877.5826992,84327785.95561674,84328859.55849946,84329686.3597262,84330333.59432329,84330849.26030315
4,2021-07-05,84326105.24391764,84327408.07601407,84328392.11666289,84329149.2436423,84329743.26421303,84326008.50862397,84327324.27373053,84328324.27358039,84329097.49262914,84329706.6260499,84325917.53979959,84327243.06496264,84328255.96304384,84329042.53115688,84329664.37324452,84325832.20102395,84327165.17435567,84328188.68091428,84328986.52131198,84329619.2420766,84325752.14911553,84327090.8401509,84328123.19440255,84328930.68981387,84329572.85534792,84325676.97322431,84327020.05817805,84328059.8754915,84328875.73760603,84329526.19798157,84325606.25709146,84326952.70496666,84327998.8761938,84328822.05944005,84329479.87481008,84325539.60611244,84326888.60184379,84327940.22459592,84328769.86706209,84329434.25705874,84325476.6578429,84326827.54889584,84327883.87920895,84328719.26090105,84329389.56886958,84325417.08466606,84326769.34299974,84327829.76046859,84328670.27304223,84329345.94007558,84325360.59282765,84326713.78721485,84327777.76929003,84328622.89360917,84329303.4392607,84325306.91990636,84326660.69541118,84327727.79808965,84328577.08726464,84329262.09493591,84325255.83173989,84326609.89425084,84327679.7373274,84328532.8036773,84329221.90935493,84325207.11930217,84326561.22370508,84327633.47934121,84328489.98422255,84329182.86766426,84325160.59576105,84326514.53677727,84327588.92052495,84328448.56629142,84329144.9440357
5,2021-07-06,84323436.89530605,84325023.27033019,84326251.97711794,84327214.25031216,84327979.16005002,84323325.07504857,84324922.93646489,84326168.73582934,84327149.60464324,84327932.76578203,84323220.08623683,84324825.84464891,84326085.0189899,84327081.01176617,84327879.29832241,84323121.74118347,84324732.84633023,84326002.6583577,84327011.17727587,84327822.23164,84323029.6172646,84324644.20940892,84325922.58688468,84326941.63204806,84327763.62362657,84322943.218,84324559.91264096,84325845.25106308,84326873.24713455,84327704.72087012,84322862.04458,84324479.79380986,84325770.8274931,84326806.50984432,84327646.28672612,84322785.626528,84324403.62660025,84325699.34140332,84326741.67857487,84327588.78780055,84322713.53324455,84324331.16113013,84325630.73359202,84326678.87284917,84327532.50409605,84322645.37657224,84324262.14531979,84325564.89912547,84326618.12722886,84327477.5961693,84322580.80925357,84324196.33590244,84325501.71005772,84326559.42436194,84327424.14717424,84322519.52166319,84324133.50374667,84325441.02886744,84326502.71561414,84327372.1897671,84322461.23798013,84324073.43603668,84325382.71638711,84326447.93412372,84327321.7236392,84322405.71236004,84324015.93672733,84325326.6364109,84326395.00313462,84327272.7271114,84322352.7253603,84323960.8260749,84325272.65827797,84326343.84133463,84327225.16489086
6,2021-07-07,84320600.90395428,84322449.19691645,84323915.62146023,84325083.70109625,84326023.92053068,84320477.03119282,84322334.29080948,84323818.02967791,84325006.5926022,84325967.85032475,84320360.87377821,84322223.23127761,84323719.98123811,84324924.84337312,84325903.27179693,84320252.19659837,84322116.9772704,84323623.61969163,84324841.68555176,84325834.39329508,84320150.50807638,84322015.8183776,84323530.0299559,84324758.94337606,84325763.70504665,84320055.23883174,84321919.7142067,84323439.72510707,84324677.65083034,84325692.71285935,84319965.82048534,84321828.46481138,84323352.9018582,84324598.38286354,84325622.3364225,84319881.71904574,84321741.79883935,84323269.58020134,84324521.44108438,84325553.13577676,84319802.44714274,84321659.4198096,84323189.68214215,84324446.96167237,84325485.44507076,84319727.566393,84321581.03035893,84323113.07711154,84324374.97992726,84325419.45408587,84319656.68530208,84321506.34461401,84323039.60854737,84324305.46978244,84325355.25924255,84319589.45533149,84321435.09406681,84322969.10955347,84324238.36842947,84325292.89621331,84319525.56640972,84321367.02987902,84322901.41209011,84324173.59186567,84325232.36115156,84319464.74249443,84321301.92323974,84322836.35227376,84324111.04479095,84325173.6247111,84319406.73745574,84321239.56469132,84322773.7733113,84324050.62692559,84325116.64140932
7,2021-07-08,84317632.57206324,84319717.11194353,84321409.90425706,84322780.52973707,84323897.20817113,84317499.48065361,84319589.72092378,84321299.25054286,84322691.63462745,84323831.73985963,84317374.80241174,84319466.71970224,84321188.17923626,84322597.45894659,84323756.37953895,84317258.26156202,84319349.15594381,84321079.11657898,84322501.73384315,84323676.0512858,84317149.3100922,84319237.33432059,84320973.28368144,84322406.56042643,84323593.66595139,84317047.3198582,84319131.19483143,84320871.25181721,84322313.12545198,84323510.9808237,84316951.66686264,84319030.50242262,84320773.23365715,84322222.08514827,84323429.06661569,84316861.76661639,84318934.94479978,84320679.24227892,84322133.7803424,84323348.57305701,84316777.08680172,84318844.1835875,84320589.18068226,84322048.36139484,84323269.88574713,84316697.1494044,84318757.88098834,84320502.8933132,84321965.86286172,84323193.22172542,84316621.5281254,84318675.7132687,84320420.19614269,84321886.2491414,84323118.68923098,84316549.84388798,84318597.37706093,84320340.89432286,84321809.44287564,84323046.32588214,84316481.75980261,84318522.59173392,84320264.79249923,84321735.34284584,84322976.12350304,84316416.97623113,84318451.09963337,84320191.70071466,84321663.8353362,84322908.04449847,84316355.22623101,84318382.66520421,84320121.43764077,84321594.80136402,84322842.03277284
8,2021-07-09,84314551.28987502,84316845.82515998,84318751.74524905,84320319.54589947,84321611.88136464,84314411.31866054,84316707.90257317,84318629.35471179,84320219.63799879,84321537.39341252,84314280.29011083,84316574.84450375,84318506.59808385,84320113.86464213,84321451.69412553,84314157.89615908,84316447.77113123,84318386.15471847,84320006.42400667,84321360.39651866,84314043.545076,84316326.99748597,84318269.36644617,84319899.67538854,84321266.81569009,84313936.56358844,84316212.44488277,84318156.85498203,84319794.9471819,84321172.95000099,84313836.28519054,84316103.84680569,84318048.84554213,84319692.97023492,84321080.01438671,84313742.08692521,84316000.85486999,84317945.34335984,84319594.12066841,84320988.74373634,84313653.40232103,84315903.09406951,84317846.23292074,84319498.5608119,84320899.57204989,84313569.72331205,84315810.19143297,84317751.33497807,84319406.3233567,84320812.74156444,84313490.5972538,84315721.7904126,84317660.43975832,84319317.36274634,84320728.37095444,84313415.62198932,84315637.5575136,84317573.32639158,84319231.58710565,84320646.49887167,84313344.44038868,84315557.18469252,84317489.77421051,84319148.87832326,84320567.11223084,84313276.73502786,84315480.38947597,84317409.56917778,84319069.10477397,84320490.16484392,84313212.22329453,84315406.91389236,84317332.50736672,84318992.1293901,84320415.5898284
9,2021-07-10,84311371.89195602,84313850.1293518,84315954.70605224,84317712.78065562,84319178.48478267,84311226.88688129,84313703.44356824,84315821.88062902,84317602.68046601,84319095.41948614,84311091.21106642,84313562.0269113,84315688.74681583,84317486.18378255,84318999.8954387,84310964.53275865,84313427.05846255,84315558.20829597,84317367.92160605,84318898.18248886,84310846.22823769,84313298.8604323,84315431.7129836,84317250.49174999,84318793.98060596,84310735.59123956,84313177.33729884,84315309.92606299,84317135.35279284,84318689.51714747,84310631.92420366,84313062.19526562,84315193.08257894,84317023.30357249,84318586.14357997,84310534.57608393,84312953.05499925,84315081.17959194,84316914.75178832,84318484.6749949,84310442.9554801,84312849.51025727,84314974.08407643,84316809.86982134,84318385.59059173,84310356.53239872,84312751.15818152,84314871.59481591,84316708.68770325,84318289.15575853,84310274.83497742,84312657.61441463,84314773.47837624,84316611.14983265,84318195.49833128,84310197.44422723,84312568.51998132,84314679.4900974,84316517.15016745,84318104.657246,84310123.98826027,84312483.54369305,84314589.38625367,84316426.55432399,84318016.61411832,84310054.13668643,84312402.38215116,84314502.9309315,84316339.21354795,84317931.31402567,84309987.59547164,84312324.7585086,84314419.8997187,84316254.97355454,84317848.6793276
