,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334051.860178,84334201.86701302,84334302.09662764,84334372.9542353,84334425.23917587,84334037.91618273,84334191.67118223,84334294.74098775,84334367.7887531,84334421.80134681,84334024.65976773,84334181.7047531,84334287.28476362,84334362.27515557,84334417.82240012,84334012.09530424,84334172.0650142,84334279.89146057,84334356.62690865,84334413.55543494,84334000.19450839,84334162.79108375,84334272.64808196,84334350.96686146,84334409.15142769,84333988.91606112,84334153.89214163,84334265.59965679,84334345.36674514,84334404.70289683,84333978.21481934,84334145.36187515,84334258.7674597,84334339.86832245,84334400.26746571,84333968.04614425,84334137.18614894,84334252.15906563,84334334.49526817,84334395.88122463,84333958.36785604,84334129.34717913,84334245.77409682,84334329.26010711,84334391.56662305,84333949.14101118,84334121.82583407,84334239.60759795,84334324.16839594,84334387.3372906,84333940.33009365,84334114.60290112,84334233.65205887,84334319.22130944,84334383.20106657,84333931.90292123,84334107.65976985,84334227.8986432,84334314.41727386,84334379.1619487,84333923.8304214,84334100.97878133,84334222.33793941,84334309.75301526,84334375.22137205,84333916.08635764,84334094.54338488,84334216.96041968,84334305.2242408,84334371.3790621,84333908.64704715,84334088.33818436,84334211.75671658,84334300.82608494,84334367.63361143
1,2021-07-02,84332774.70678015,84333154.72187747,84333417.33854173,84333607.27320923,84333749.71678507,84332741.38477758,84333129.19835246,84333398.34684993,84333593.6420158,84333740.49740918,84332709.81601225,84333104.31474358,84333379.1332645,84333579.11302789,84333729.83760768,84332679.99341397,84333080.30812803,84333360.11918306,84333564.25143708,84333718.4189141,84332651.83375897,84333057.26907966,84333341.52655892,84333549.38124165,84333706.64724039,84332625.22495951,84333035.21345703,84333323.46826263,84333534.69050556,84333694.77068341,84332600.04795915,84333014.11899148,84333305.99571654,84333520.2877426,84333682.94317694,84332576.18679816,84332993.94460557,84333289.12513258,84333506.23357995,84333671.26060969,84332553.53298353,84332974.64084786,84333272.852468,84333492.55923235,84333659.78215918,84332531.98707114,84332956.15558511,84333257.16217697,84333479.27762131,84333648.54331957,84332511.45888801,84332938.43708947,84333242.03243041,84333466.39023823,84333637.56408109,84332491.86711325,84332921.43566553,84333227.43826737,84333453.89146735,84333626.85418619,84332473.13858359,84332905.10444808,84333213.35350667,84333441.77135181,84333616.41657348,84332455.20751022,84332889.39972766,84333199.7519016,84333430.01738381,84333606.24967048,84332438.0146997,84332874.28100848,84333186.6078259,84333418.61567166,84333596.34894022
2,2021-07-03,84331072.69072239,84331723.84809574,84332187.77833958,84332530.41097637,84332791.28119522,84331018.70923688,84331680.7111577,84332154.74908866,84332506.2149542,84332774.66556865,84330967.71280618,84331638.74936941,84332121.39094023,84332480.45802198,84332755.47125898,84330919.66590153,84331598.35361569,84332088.43532975,84332454.14623046,84332734.93100774,84330874.412443,84331559.66605036,84332056.2639654,84332427.85425429,84332713.77796365,84330831.75285736,84331522.70300727,84332025.06782861,84332401.91386272,84332692.45916066,84330791.4793223,84331487.41742156,84331994.93091086,84332376.51491007,84332671.25099142,84330753.39165124,84331453.73162523,84331965.87625638,84332351.76203115,84332650.32476394,84330717.30393551,84331421.55494171,84331937.89214133,84332327.7076919,84332629.78542542,84330683.04671608,84331390.79319343,84331910.94734211,84332304.37205449,84332609.69520032,84330650.46701367,84331361.35378759,84331885.00020282,84332281.75521655,84332590.08842045,84330619.42737903,84331333.1483372,84331860.00407906,84332259.84490176,84332570.98104471,84330589.80454855,84331306.0938936,84331835.91061594,84332238.621366,84332552.37688746,84330561.48799856,84331280.11339538,84331812.671708,84332218.06056117,84332534.27175784,84330534.37854086,84331255.13568035,84331790.24064666,84332198.1361881,84332516.65624602
3,2021-07-04,84329051.33916566,84329986.15772347,84330671.39287443,84331187.54743735,84331586.20766203,84328978.0001066,84329925.17140296,84330623.41100895,84331151.70372072,84331561.23039341,84328908.88055217,84329865.96083987,84330575.02463405,84331113.59134138,84331532.40051739,84328843.90405065,84329809.06613414,84330527.29415715,84331074.70424296,84331501.57717101,84328782.83387129,84329754.6744941,84330480.76828912,84331035.89299646,84331469.86454931,84328725.37812528,84329702.79592991,84330435.71742187,84330997.64619842,84331437.9344255,84328671.23732586,84329653.35219422,84330392.25642157,84330960.24129449,84331406.20078337,84328620.12544128,84329606.2233013,84330350.41203673,84330923.82922332,84331374.91900398,84328571.7783866,84329561.27233103,84330310.16113694,84330888.48371896,84331344.24445449,84328525.95650479,84329518.3587163,84330271.45294596,84330854.23090634,84331314.26823889,84328482.44421561,84329477.34525943,84330234.22219312,84330821.06750356,84331285.03961134,84328441.04840559,84329438.10167134,84330198.39696802,84330788.9722342,84331256.58034888,84328401.59634434,84329400.50616518,84330163.90341757,84330757.91308764,84331228.8941421,84328363.933514,84329364.44596265,84330130.66852762,84330727.85198441,84331201.97282603,84328327.92153573,84329329.81720208,84330098.62172817,84330698.7477905,84331175.80056511
4,2021-07-05,84326769.90352356,84327986.92597494,84328902.96208303,84329605.85959573,84330156.16133246,84326679.40271518,84327908.81482963,84328839.9117306,84329557.87599117,84330122.25322174,84326594.2741849,84327833.10280748,84328776.41401944,84329506.9073921,84330083.14411011,84326514.39439419,84327760.46747288,84328713.85958377,84329454.95783977,84330041.36519969,84326439.4458197,84327691.13318853,84328652.96251936,84329403.16492404,84329998.41797055,84326369.0470377,84327625.09823118,84328594.06982394,84329352.17913617,84329955.21401754,84326302.81102946,84327562.24943627,84328537.32407078,84329302.36723502,84329912.31341939,84326240.37058388,84327502.42192313,84328482.75257695,84329253.92634149,84329870.0601788,84326181.38820775,84327445.4307661,84328430.31787951,84329206.95034336,84329828.66222402,84326125.55869171,84327391.08782929,84328379.94700254,84329161.46970953,84329788.24020731,84326072.60826571,84327339.21055137,84328331.54870649,84329117.47593836,84329748.85807788,84326022.29227939,84327289.62628812,84328285.02374186,84329074.9368545,84329710.54266788,84325974.39236386,84327242.1741848,84328240.27094199,84329033.80631542,84329673.29647334,84325928.71354015,84327196.70567985,84328197.19079897,84328994.03042907,84329637.1061211,84325885.08149026,84327153.08426489,84328155.68749921,84328955.5515546,84329601.94804499
5,2021-07-06,84324290.37462343,84325775.73070565,84326922.31005295,84327817.80748175,84328528.06695329,84324185.57036717,84325682.01034226,84326844.77699026,84327757.73548757,84328485.03743622,84324087.14578557,84325591.2978049,84326766.7855048,84327693.985202,84328435.44157758,84323994.92927074,84325504.39090292,84326690.04233839,84327629.07002111,84328382.49987347,84323908.52841781,84325421.54253003,84326615.41781634,84327564.4127648,84328328.1204688,84323827.48096319,84325342.73531978,84326543.32940207,84327500.82361054,84328273.45964491,84323751.32189181,84325267.81993552,84326473.94317059,84327438.75634886,84328219.22582224,84323679.61226785,84325196.58685885,84326407.2840944,84327378.45210418,84328165.85235149,84323611.95014241,84325128.80427139,84326343.2983542,84327320.0229217,84328113.59957342,84323547.97303309,84325064.23804946,84326281.88937613,84327263.50182806,84328062.61704998,84323487.35654046,84325002.66208546,84326222.93900134,84327208.87352581,84328012.98252787,84323429.81133501,84324943.86329332,84326166.32001546,84327156.09356195,84327964.72687705,84323375.07960929,84324887.64367463,84326111.90354976,84327105.1004624,84327917.85034543,84323322.93152142,84324833.82076903,84326059.56338893,84327055.82348186,84327872.33331114,84323273.16186962,84324782.22723694,84326009.17839126,84327008.18757147,84327828.143478
6,2021-07-07,84321649.4301547,84323383.84910965,84324755.42188907,84325844.94524817,84326719.94376688,84321533.1227794,84323276.29642591,84324664.32763706,84325773.13896681,84326667.83131757,84321424.03602056,84323172.32186235,84324572.78939739,84325696.99872224,84326607.80356899,84321321.95356335,84323072.82577097,84324482.80874328,84325619.5335115,84326543.76996526,84321226.41765685,84322978.08214298,84324395.3999534,84325542.44246976,84326478.04436986,84321136.8968346,84322888.05589713,84324311.04380037,84325466.68940927,84326412.02645048,84321052.8599811,84322802.56228049,84324229.92574155,84325392.81091109,84326346.57152525,84320973.8077765,84322721.34935889,84324152.0661429,84325321.08906497,84326282.20084022,84320899.28427507,84322644.14135869,84324077.39372732,84325251.65186535,84326219.22576427,84320828.87920518,84322570.66140117,84324005.78795621,84325184.53327775,84326157.82349104,84320762.22606352,84322500.64312398,84323937.10385168,84325119.71001786,84326098.08440802,84320698.99847385,84322433.83621864,84323871.18663011,84325057.12447998,84326040.04238933,84320638.90601295,84322370.00862056,84323807.88029999,84324996.6992201,84325983.69451849,84320581.69007614,84322308.94687186,84323747.03262703,84324938.34618022,84325929.01411709,84320527.12003751,84322250.45551378,84323688.49789031,84324881.97258072,84325875.95944916
7,2021-07-08,84318888.625235,84320846.98289652,84322432.53622791,84323712.93677978,84324753.76116347,84318763.61613066,84320727.63437614,84322329.12703077,84323630.04638603,84324692.83223222,84318646.4876915,84320612.37634762,84322225.3088255,84323542.21845856,84324622.68853654,84318536.98502868,84320502.1931629,84322123.34984504,84323452.93116143,84324547.91062906,84318434.59694311,84320397.37323086,84322024.39298876,84323364.14408892,84324471.20688169,84318338.73634356,84320297.86308615,84321928.97413039,84323276.96489328,84324394.2129328,84318248.81948069,84320203.4449214,84321837.2939915,84323192.00679399,84324317.92590243,84318164.29925449,84320113.82821171,84321749.36661416,84323109.58896607,84324242.95133135,84318084.67719574,84320028.6976728,84321665.10297102,84323029.85293151,84324169.64902009,84318009.50554284,84319947.73827878,84321584.35911079,84322952.83213018,84324098.2218946,84317938.38487096,84319870.64793925,84321506.96428011,84322878.4944648,84324028.77158092,84317870.95992,84319797.14344256,84321432.73744312,84322806.76878165,84323961.33391693,84317806.91490342,84319726.96271046,84321361.4969396,84322737.56156363,84323895.9020495,84317745.96890217,84319659.86505182,84321293.06602272,84322670.76753533,84323832.44167283,84317687.87160929,84319595.63036424,84321227.27589738,84322606.2764157,84323770.90119334
8,2021-07-09,84316023.19721624,84318180.53763063,84319967.66901043,84321434.06716517,84322640.15655863,84315891.72571419,84318051.25118814,84319853.19441631,84321340.81490253,84322570.75948428,84315768.63379687,84317926.50305755,84319738.35815161,84321242.07331102,84322490.90776604,84315653.63597181,84317807.34608483,84319625.66718312,84321141.75991017,84322405.82849285,84315546.17973803,84317694.07850765,84319516.37837723,84321042.07730009,84322318.60949959,84315445.63541435,84317586.62927076,84319411.0753241,84320944.26654471,84322231.11280996,84315351.37915808,84317484.75090753,84319309.97072223,84320849.01123914,84322144.47106144,84315262.82760108,84317388.11885706,84319213.07134967,84320756.6639316,84322059.36988664,84315179.45008312,84317296.38328229,84319120.27083658,84320667.37755994,84321976.21467318,84315100.77052481,84317209.19597398,84319031.40298893,84320581.18394816,84321895.2321459,84315026.36468114,84317126.2238812,84318946.27286042,84320498.04175475,84321816.53386046,84314955.85555209,84317047.15536451,84318864.67494698,84320417.86627337,84321740.15674551,84314888.90828942,84316971.70247778,84318786.40377732,84320340.54818435,84321666.08944675,84314825.22522655,84316899.60110764,84318711.25994608,84320265.96544015,84321594.28968704,84314764.54130383,84316830.60999559,84318639.05338871,84320193.990811,84321524.69583008
9,2021-07-10,84313070.07648243,84315400.76422401,84317375.44762658,84319021.19158629,84320390.34880812,84312933.9628332,84315263.2641068,84317251.16784446,84318918.36725686,84320312.9076368,84312806.58801423,84315130.68275021,84317126.58043459,84318809.5540514,84320223.84108223,84312687.64417405,84315004.12808923,84317004.40320602,84318699.07595116,84320128.99204056,84312576.54886855,84314883.90495473,84316885.99275884,84318589.35961823,84320031.80925158,84312472.64162888,84314769.92637786,84316771.97357476,84318481.76847227,84319934.3695449,84312375.26967867,84314661.91920114,84316662.56762499,84318377.05006318,84319837.9336895,84312283.82350822,84314559.52974913,84316557.7740368,84318275.58669542,84319743.26263995,84312197.74927638,84314462.37881468,84316457.47000742,84318177.54083735,84319650.80428216,84312116.55052775,84314370.09009622,84316361.46871449,84318082.94189508,84319560.80715723,84312039.78516978,84314282.30440894,84316269.55298965,84317991.73916271,84319473.39150932,84311967.06057893,84314198.6861724,84316181.49498136,84317903.83468819,84319388.59462088,84311898.02821505,84314118.92569691,84316097.06755558,84317819.10391983,84319306.40024559,84311832.37838745,84314042.73921338,84316016.05075276,84317737.40876563,84319226.75798306,84311769.83544882,84313969.86773495,84315938.23525932,84317658.60586177,84319149.5961677
