,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4044794.4972691378,4044810.138100039,4044825.271577163,4044839.319192796,4044852.055397967,4044793.351757323,4044808.844718002,4044823.9911722485,4044838.179739535,4044851.14565613,4044792.3020000528,4044807.618110025,4044822.723741347,4044836.9851313974,4044850.106212649,4044791.3408104694,4044806.465878445,4044821.496458263,4044835.784018053,4044849.0073602307,4044790.4594389084,4044805.387991123,4044820.3217128036,4044834.6029018033,4044847.890104429,4044789.6492144796,4044804.3809854733,4044819.204142324,4044833.4559747963,4044846.7786613526,4044788.9021627433,4044803.440001746,4044818.144280437,4044832.3504002136,4044845.6873029605,4044788.2111882875,4044802.559779179,4044817.140514494,4044831.289259458,4044844.6242623976,4044787.5700744707,4044801.735138826,4044816.190160525,4044830.2732484266,4044843.5940382523,4044786.973411435,4044800.9612062797,4044815.2900614743,4044829.3016776857,4044842.5987924044,4044786.416501713,4044800.2335011098,4044814.436920865,4044828.3730729604,4044841.639217566,4044785.895264889,4044799.5479582977,4044813.627486544,4044827.485540067,4044840.715085716,4044785.406150015,4044798.9009159077,4044812.8586482788,4044826.6369879884,4044839.8255998665,4044784.9460586226,4044798.289087118,4044812.127485462,4044825.8252650346,4044838.969622087,4044784.51227856,4044797.7095262287,4044811.431285964,4044825.0482410057,4044838.145822325
1,2021-07-02,4044501.6308303243,4044524.2039031587,4044546.893976282,4044568.8047455805,4044589.4368917313,4044500.0374236787,4044522.3352890615,4044544.967268796,4044567.0202244325,4044587.95781673,4044498.57943014,4044520.567589831,4044543.0657178685,4044565.1547954343,4044586.2721857,4044497.246249572,4044518.9109551115,4044541.2296927082,4044563.2848182204,4044584.495194389,4044496.02524591,4044517.364559137,4044539.4770948505,4044561.451422867,4044582.693664988,4044494.904008493,4044515.922735386,4044537.814140899,4044559.676234387,4044580.9067063536,4044493.871185437,4044514.5779203465,4044536.240936026,4044557.9698091894,4044579.1570580043,4044492.916715389,4044513.322079737,4044534.7544470797,4044556.3363316148,4044577.457564482,4044492.031809787,4044512.1473882417,4044533.3501227573,4044554.776306286,4044575.8149905954,4044491.208839647,4044511.04653401,4044532.0227861404,4044553.288136926,4044574.2323298054,4044490.441194581,4044510.01283296,4044530.767125634,4044551.869067558,4044572.7102313167,4044489.7231430514,4044509.040247489,4044529.5779599473,4044550.515749358,4044571.2478976673,4044489.0497052977,4044508.1233588485,4044528.45037436,4044549.2245831755,4044569.8436567597,4044488.4165423713,4044507.2573189754,4044527.3797833007,4044547.9919254147,4044568.495329761,4044487.819861242,4044506.437795278,4044526.3619509195,4044546.8142096605,4044567.200468865
2,2021-07-03,4044207.4106247756,4044233.848244962,4044260.700747078,4044287.039469952,4044312.2904534545,4044205.578440629,4044231.681635403,4044258.43398419,4044284.9022748033,4044310.4851231975,4044203.901079879,4044229.6327173454,4044256.1988841337,4044282.6708788355,4044308.4301956934,4044202.3664854555,4044227.713050569,4044254.042686069,4044280.436765558,4044306.266774724,4044200.960252733,4044225.9215046926,4044251.9861286473,4044278.248960785,4044304.076470739,4044199.66822229,4044224.2513765534,4044250.036211992,4044276.1330287857,4044301.9068272626,4044198.4774365397,4044222.6937983846,4044248.1927833245,4044274.101259092,4044299.7852969794,4044197.3764069914,4044221.23938439,4044246.4520418537,4044272.1583300675,4044297.727218382,4044196.3550955206,4044219.8790122755,4044244.8084429596,4044270.3045491436,4044295.7405123743,4044195.4047860615,4044218.604170902,4044243.255743053,4044268.5377478558,4044293.8285195627,4044194.517924269,4044217.4070886085,4044241.7875712346,4044266.8544077342,4044291.99175054,4044193.6879584054,4044216.2807517396,4044240.397735474,4044265.2503354996,4044290.2289836896,4044192.9091945672,4044215.2188702524,4044239.0803780667,4044263.721068821,4044288.537962393,4044192.1766702244,4044214.2158201253,4044237.830045196,4044262.2621184443,4044286.9158415473,4044191.486046039,4044213.2665780606,4044236.6417078176,4044260.869109771,4044285.359474632
3,2021-07-04,4043916.225388675,4043945.621240101,4043975.40374098,4044004.7098443704,4044032.9941180465,4043914.209237703,4043943.247673336,4043972.9160408718,4044002.350540399,4044030.9845392974,4043912.3610730097,4043941.0016412293,4043970.4628975485,4043999.887944555,4044028.6981822154,4043910.6681208815,4043938.8959645135,4043968.096095799,4043997.423012428,4044026.2922982387,4043909.1149445544,4043936.9295795807,4043965.8383604726,4043995.0097626424,4044023.857721296,4043907.6862982153,4043935.0953103895,4043963.697358105,4043992.6762960004,4044021.447265398,4043906.368190599,4043933.3835925884,4043961.67291934,4043990.4360638265,4044019.091339505,4043905.148191545,4043931.7842748654,4043959.7608809522,4043988.294129354,4044016.8068585214,4043904.0154226087,4043930.2874757275,4043957.955172126,4043986.2507472034,4044014.60248759,4043902.960425168,4043928.8839661735,4043956.248958601,4043984.303454795,4044012.4818078144,4043901.974991423,4043927.5653124563,4043954.635268248,4043982.4483134327,4044010.44526714,4043901.0519951577,4043926.323898524,4043953.1073258654,4043980.680651509,4044008.4914023913,4043900.185236995,4043925.152890281,4043951.658722983,4043978.9955103397,4044006.6176141785,4043899.3693088065,4043924.046174202,4043950.283493691,4043977.3879095837,4044004.8206622326,4043898.599477449,4043922.998287248,4043948.976137251,4043975.8530019517,4044003.096983127
4,2021-07-05,4043630.7502791467,4043662.9682242423,4043695.3010243047,4043726.9899037355,4043757.5686293123,4043628.5539812106,4043660.4118881943,4043692.6362679796,4043724.4656282025,4043755.414794699,4043626.537270332,4043657.990144319,4043690.006835523,4043721.8301526345,4043752.9643004667,4043624.6869645226,4043655.7171918047,4043687.468270717,4043719.191414908,4043750.385646545,4043622.9868546273,4043653.5922841607,4043685.0450722845,4043716.607204282,4043747.776142745,4043621.42081877,4043651.6080546556,4043682.745634544,4043714.1076184916,4043745.1923538963,4043619.9739995915,4043649.7545143813,4043680.5699567073,4043711.7071011225,4043742.6668395647,4043618.6331580225,4043648.0209925734,4043678.513746395,4043709.4111297242,4043740.2177055734,4043617.3866803953,4043646.3970644614,4043676.5706500052,4043707.220039176,4043737.854224073,4043616.2244488834,4043644.872969817,4043674.733477581,4043705.13125572,4043735.580225227,4043615.1376685365,4043643.4397729393,4043672.994873906,4043703.1406229003,4043733.3961867224,4043614.118691582,4043642.089392367,4043671.3476788225,4043701.2431958,4043731.300542228,4043613.1608555657,4043640.814567091,4043669.785111019,4043699.433717713,4043729.2905108063,4043612.2583408332,4043639.6087943544,4043668.3008511034,4043697.7069041356,4043727.3626268944,4043611.4060479053,4043638.4662573794,4043666.889067518,4043696.05760848,4043725.5130801117
5,2021-07-06,4043343.0592067363,4043377.996069896,4043412.934166002,4043447.0733155315,4043479.959370818,4043340.7084112545,4043375.26174873,4043410.0893565095,4043444.382278036,4043477.664124017,4043338.5486904075,4043372.6698894673,4043407.2809012947,4043441.571769336,4043475.052281285,4043336.566219849,4043370.235931646,4043404.5681963656,4043438.7568076835,4043472.3032911443,4043334.743877317,4043367.9593208022,4043401.977554012,4043435.999042882,4043469.5208153627,4043333.064582622,4043365.83239091,4043399.5181051935,4043433.3306462932,4043466.7651414825,4043331.512567565,4043363.8446363024,4043397.1900088806,4043430.7671160856,4043464.071000885,4043330.0737638115,4043361.9847894427,4043394.9888249217,4043428.314393049,4043461.4577346477,4043328.735818094,4043360.2418178953,4043392.907893266,4043425.9729296598,4043458.9352749796,4043327.4879594403,4043358.6053767805,4043390.9396424405,4043423.7400687532,4043456.507755189,4043326.320818554,4043357.0659842184,4043389.0763079138,4043421.6114561777,4043454.175733934,4043325.226243168,4043355.615056763,4043387.310318973,4043419.581887685,4043451.937588328,4043324.1971273683,4043354.2448762716,4043385.6344970767,4043417.645817779,4043449.790397259,4043323.2272609947,4043352.9485257994,4043384.0421464783,4043415.7976633525,4043447.7305060294,4043322.311199861,4043351.7198142414,4043382.527083578,4043414.031981282,4043445.753888573
6,2021-07-07,4043049.3188409377,4043086.3959750645,4043123.6567543084,4043160.137529604,4043195.3091513114,4043046.8734870576,4043083.521903294,4043120.6515052193,4043157.287431012,4043192.8744875947,4043044.6277398886,4043080.797887103,4043117.6845957926,4043154.310593279,4043190.103822303,4043042.5670699663,4043078.240140006,4043114.818800084,4043151.328836124,4043187.1874685967,4043040.6735359603,4043075.8480546484,4043112.0819413285,4043148.407476987,4043184.2353809215,4043038.929261301,4043073.6135454313,4043109.4836877803,4043145.580619686,4043181.3115220615,4043037.317753449,4043071.525541929,4043107.0242244466,4043142.864709838,4043178.452754484,4043035.824304552,4043069.5721743945,4043104.6988730733,4043140.266068226,4043175.679618429,4043034.436004394,4043067.7418223657,4043102.5006063767,4043137.785199238,4043173.0026737745,4043033.1415997767,4043066.023590464,4043100.421431151,4043135.419309932,4043170.4263277873,4043031.9313045186,4043064.4074927834,4043098.453147885,4043133.163806426,4043167.951193804,4043030.7966056713,4043062.8844899926,4043096.587760049,4043131.0131912576,4043165.5755687356,4043029.7300845985,4043061.446454323,4043094.817684114,4043128.961602764,4043163.2963700695,4043028.7252592104,4043060.0861019734,4043093.135845651,4043127.0031371033,4043161.1097349566,4043027.776448081,4043058.7969137016,4043091.5357106146,4043125.1320367395,4043159.0114046372
7,2021-07-08,4042744.1212956146,4042782.0489374422,4042820.893938129,4042859.3325991645,4042896.6260562716,4042741.7018495603,4042779.117856871,4042817.777221467,4042856.347448035,4042894.060319064,4042739.484555113,4042776.3433487224,4042814.7025770554,4042853.2308801557,4042891.141165681,4042737.454083764,4042773.7414673725,4042811.7349949344,4042850.1105806683,4042888.069321639,4042735.5918857283,4042771.311098306,4042808.9031087453,4042847.0549223647,4042884.9607145507,4042733.879627209,4042769.043543569,4042806.2166928356,4042844.099522098,4042881.882738273,4042732.300474298,4042766.927121363,4042803.6756917383,4042841.261476528,4042878.8741916767,4042730.839465288,4042764.9493953404,4042801.275026823,4042838.5472725458,4042875.956655426,4042729.483501899,4042763.0982381813,4042799.0072089587,4042835.957310031,4042873.141186065,4042728.221192317,4042761.362309227,4042796.8637732947,4042833.4885450117,4042870.432355975,4042727.0426489883,4042759.7312350133,4042794.8360652784,4042831.136058737,4042867.830742367,4042725.939285718,4042758.19564038,4042792.9156625494,4042828.8939977926,4042865.3344860035,4042724.9036319233,4042756.747107017,4042791.0945899915,4042826.7561384817,4042862.9402793376,4042723.9291697424,4042755.3780997274,4042789.3654167857,4042824.7162231924,4042860.643997996,4042723.0101942783,4042754.0818814863,4042787.7212864948,4042822.7681567795,4042858.4411057304
8,2021-07-09,4042445.8643896957,4042483.774270562,4042523.0754219336,4042562.3173682825,4042600.6539696148,4042443.5014462243,4042480.8655374697,4042519.9448661283,4042559.2910870807,4042598.0340433624,4042441.337019075,4042478.1136592133,4042516.8580713775,4042556.132843249,4042595.0541418376,4042439.3558781454,4042475.5343221566,4042513.880198116,4042552.972131364,4042591.9194261045,4042437.5396986767,4042473.1261826707,4042511.0398262036,4042549.878190626,4042588.7483106083,4042435.870412879,4042470.8804013655,4042508.3465826097,4042546.8869990343,4042585.6095635374,4042434.331455211,4042468.785211825,4042505.8002335373,4042544.01574302,4042582.5427110894,4042432.908117811,4042466.828130483,4042503.3955205777,4042541.2708556238,4042579.569680481,4042431.5875351727,4042464.997007634,4042501.1247865143,4042538.652610134,4042576.7016498446,4042430.3585255523,4042463.2804967514,4042498.979415153,4042536.1578028877,4042573.943181072,4042429.211389436,4042461.6682294426,4042496.9506184324,4042533.78134448,4042571.294764996,4042428.137708295,4042460.1508427705,4042495.0298575643,4042531.5172120384,4042568.7544144075,4042427.1301608537,4042458.719935205,4042493.2090565455,4042529.3590200394,4042566.3186732205,4042426.1823622347,4042457.367991102,4042491.480697426,4042527.3003598037,4042563.983260813,4042425.2887261272,4042456.088294534,4042489.837848624,4042525.3349970984,4042561.7434847527
9,2021-07-10,4042146.895733646,4042185.0061519733,4042224.81168973,4042264.780092399,4042304.0018562316,4042144.556753765,4042182.1019659187,4042221.663911579,4042261.719570918,4042301.339551114,4042142.4144937233,4042179.354820927,4042218.5606883164,4042258.5261521917,4042298.3119118237,4042140.453823481,4042176.780304261,4042215.56749088,4042255.330813165,4042295.1275144857,4042138.656561111,4042174.377003258,4042212.7129863696,4042252.2035384164,4042291.906703819,4042137.004788987,4042172.13603079,4042210.006782281,4042249.1806521774,4042288.719330765,4042135.48208443,4042170.045587816,4042207.4485767675,4042246.27946847,4042285.605510059,4042134.073869718,4042168.0931688873,4042205.033024154,4042243.5064283973,4042282.5874649975,4042132.767395445,4042166.2666100585,4042202.752375537,4042240.86174934,4042279.67649546,4042131.551582406,4042164.554556008,4042200.5979258665,4042238.342139338,4042276.8771813493,4042130.4168212437,4042162.9466334214,4042198.560804374,4042235.9424063577,4042274.189970633,4042129.354772608,4042161.433477193,4042196.6323969676,4042233.6564208525,4042271.6127986885,4042128.358184802,4042160.0066855694,4042194.8045599363,4042231.477692342,4042269.142113746,4042127.4207341974,4042158.6587440483,4042193.069714877,4042229.3997119972,4042266.7735313056,4042126.536888526,4042157.3829387855,4042191.420876439,4042227.4161517723,4042264.5022530523
